specialist_score,specialist_cycle,cm_true_positive,cm_false_positive,cm_false_negative,cm_true_negative,gen
0,fit,,,,,700
0,score,,,,,701
0.44,fit,10,4,10,1,702
0.44,score,10,4,10,1,703
0.36,fit,9,5,11,0,704
0.36,score,9,5,11,0,705
0.52,fit,12,4,8,1,706
0.52,score,12,4,8,1,707
0.52,fit,12,3,9,1,708
0.52,score,12,3,9,1,709
0.68,fit,16,3,5,1,710
0.68,score,16,3,5,1,711
0.56,fit,13,4,7,1,712
0.56,score,13,4,7,1,713
0.64,fit,16,2,7,0,714
0.64,score,16,2,7,0,715
0.64,fit,16,3,6,0,716
0.64,score,16,3,6,0,717
0.68,fit,17,2,6,0,718
0.68,score,17,2,6,0,719
0.52,fit,13,3,9,0,720
0.52,score,13,3,9,0,721
0.76,score,19,2,4,0,722
0.52,fit,13,3,9,0,723
0.52,score,13,3,9,0,724
0.64,fit,14,1,8,2,725
0.64,score,14,1,8,2,726
0.56,fit,14,3,8,0,727
0.56,score,14,3,8,0,728
0.4,fit,10,3,12,0,729
0.4,score,10,3,12,0,730
0.56,fit,14,5,6,0,731
0.56,score,14,5,6,0,732
0.52,fit,11,4,8,2,733
0.52,score,11,4,8,2,734
0.56,fit,14,4,7,0,735
0.56,score,14,4,7,0,736
0.72,score,16,1,6,2,737
0.72,score,18,0,7,0,738
0.64,fit,15,1,8,1,739
0.64,score,15,1,8,1,740
0.52,fit,12,2,10,1,741
0.52,score,12,2,10,1,742
0.48,fit,12,3,10,0,743
0.48,score,12,3,10,0,744
0.48,fit,12,1,12,0,745
0.48,score,12,1,12,0,746
0.64,fit,15,1,8,1,747
0.64,score,15,1,8,1,748
0.52,fit,12,2,10,1,749
0.52,score,12,2,10,1,750
0.36,fit,9,7,9,0,751
0.36,score,9,7,9,0,752
0.68,fit,16,1,7,1,753
0.68,score,16,1,7,1,754
0.48,fit,12,2,11,0,755
0.48,score,12,2,11,0,756
0.28,fit,7,6,12,0,757
0.28,score,7,6,12,0,758
0.4,fit,9,2,13,1,759
0.4,score,9,2,13,1,760
0.68,fit,17,3,5,0,761
0.68,score,17,3,5,0,762
0.52,fit,13,5,7,0,763
0.52,score,13,5,7,0,764
0.28,fit,7,5,13,0,765
0.28,score,7,5,13,0,766
0.56,fit,14,2,9,0,767
0.56,score,14,2,9,0,768
0.4,fit,10,4,11,0,769
0.4,score,10,4,11,0,770
0.4,fit,10,5,10,0,771
0.4,score,10,5,10,0,772
0.44,fit,11,3,11,0,773
0.44,score,11,3,11,0,774
0.2,fit,5,5,15,0,775
0.2,score,5,5,15,0,776
0.48,fit,12,1,12,0,777
0.48,score,12,1,12,0,778
0.56,fit,14,4,7,0,779
0.56,score,14,4,7,0,780
0.56,fit,14,2,9,0,781
0.56,score,14,2,9,0,782
0.44,fit,11,2,12,0,783
0.44,score,11,2,12,0,784
0.4,fit,9,2,13,1,785
0.4,score,9,2,13,1,786
0.32,fit,8,4,13,0,787
0.32,score,8,4,13,0,788
0.52,fit,13,3,9,0,789
0.52,score,13,3,9,0,790
0.64,fit,16,4,5,0,791
0.64,score,16,4,5,0,792
0.36,fit,8,3,13,1,793
0.36,score,8,3,13,1,794
0.28,fit,7,6,12,0,795
0.28,score,7,6,12,0,796
0.36,fit,7,2,14,2,797
0.36,score,7,2,14,2,798
0.48,fit,12,2,11,0,799
0.48,score,12,2,11,0,800
0.52,fit,12,2,10,1,801
0.52,score,12,2,10,1,802
0.36,fit,9,5,11,0,803
0.36,score,9,5,11,0,804
0.48,fit,9,5,8,3,805
0.48,score,9,5,8,3,806
0.4,fit,9,3,12,1,807
0.4,score,9,3,12,1,808
0.52,fit,13,2,10,0,809
0.52,score,13,2,10,0,810
0.44,fit,8,2,12,3,811
0.44,score,8,2,12,3,812
0.24,fit,2,4,15,4,813
0.24,score,2,4,15,4,814
0.52,fit,12,3,9,1,815
0.52,score,12,3,9,1,816
0.48,fit,8,6,7,4,817
0.48,score,8,6,7,4,818
0.32,fit,7,7,10,1,819
0.32,score,7,7,10,1,820
0.52,fit,10,3,9,3,821
0.52,score,10,3,9,3,822
0.44,fit,6,6,8,5,823
0.44,score,6,6,8,5,824
0.36,fit,5,4,12,4,825
0.36,score,5,4,12,4,826
0.52,fit,11,5,7,2,827
0.52,score,11,5,7,2,828
0.44,fit,7,3,11,4,829
0.44,score,7,3,11,4,830
0.44,fit,9,3,11,2,831
0.44,score,9,3,11,2,832
0.4,fit,8,3,12,2,833
0.4,score,8,3,12,2,834
0.44,fit,7,4,10,4,835
0.44,score,7,4,10,4,836
0.64,fit,14,3,6,2,837
0.64,score,14,3,6,2,838
0.48,fit,6,6,7,6,839
0.48,score,6,6,7,6,840
0.28,fit,3,7,11,4,841
0.28,score,3,7,11,4,842
0.48,fit,10,9,4,2,843
0.48,score,10,9,4,2,844
0.72,score,8,2,5,10,845
0.52,fit,11,4,8,2,846
0.52,score,11,4,8,2,847
0.52,fit,8,3,9,5,848
0.52,score,8,3,9,5,849
0.4,fit,7,4,11,3,850
0.4,score,7,4,11,3,851
0.4,fit,8,4,11,2,852
0.4,score,8,4,11,2,853
0.44,fit,10,10,4,1,854
0.44,score,10,10,4,1,855
0.44,fit,7,5,9,4,856
0.44,score,7,5,9,4,857
0.6,fit,10,3,7,5,858
0.6,score,10,3,7,5,859
0.56,fit,11,5,6,3,860
0.56,score,11,5,6,3,861
0.6,fit,10,4,6,5,862
0.6,score,10,4,6,5,863
0.52,fit,7,6,6,6,864
0.52,score,7,6,6,6,865
0.32,fit,2,5,12,6,866
0.32,score,2,5,12,6,867
0.36,fit,5,4,12,4,868
0.36,score,5,4,12,4,869
0.52,fit,9,5,7,4,870
0.52,score,9,5,7,4,871
0.56,fit,9,6,5,5,872
0.56,score,9,6,5,5,873
0.48,fit,7,5,8,5,874
0.48,score,7,5,8,5,875
0.52,fit,4,7,5,9,876
0.52,score,4,7,5,9,877
0.36,fit,5,8,8,4,878
0.36,score,5,8,8,4,879
0.52,fit,8,6,6,5,880
0.52,score,8,6,6,5,881
0.44,fit,3,5,9,8,882
0.44,score,3,5,9,8,883
0.48,fit,4,5,8,8,884
0.48,score,4,5,8,8,885
0.36,fit,5,5,11,4,886
0.36,score,5,5,11,4,887
0.68,fit,8,2,6,9,888
0.68,score,8,2,6,9,889
0.52,fit,5,4,8,8,890
0.52,score,5,4,8,8,891
0.52,fit,7,3,9,6,892
0.52,score,7,3,9,6,893
0.6,fit,7,4,6,8,894
0.6,score,7,4,6,8,895
0.6,fit,8,7,3,7,896
0.6,score,8,7,3,7,897
0.68,fit,7,3,5,10,898
0.68,score,7,3,5,10,899
0.6,fit,9,6,4,6,900
0.6,score,9,6,4,6,901
0.72,score,10,6,1,8,902
0.48,fit,6,7,6,6,903
0.48,score,6,7,6,6,904
0.64,fit,7,6,3,9,905
0.64,score,7,6,3,9,906
0.48,fit,4,8,5,8,907
0.48,score,4,8,5,8,908
0.56,fit,4,7,4,10,909
0.56,score,4,7,4,10,910
0.52,fit,8,4,8,5,911
0.52,score,8,4,8,5,912
0.64,fit,6,6,3,10,913
0.64,score,6,6,3,10,914
0.48,fit,2,7,6,10,915
0.48,score,2,7,6,10,916
0.6,fit,3,5,5,12,917
0.6,score,3,5,5,12,918
0.48,fit,5,5,8,7,919
0.48,score,5,5,8,7,920
0.48,fit,6,6,7,6,921
0.48,score,6,6,7,6,922
0.68,fit,6,4,4,11,923
0.68,score,6,4,4,11,924
0.68,fit,9,6,2,8,925
0.68,score,9,6,2,8,926
0.6,fit,10,4,6,5,927
0.6,score,10,4,6,5,928
0.56,fit,5,7,4,9,929
0.56,score,5,7,4,9,930
0.76,score,7,3,3,12,931
0.64,fit,9,3,6,7,932
0.64,score,9,3,6,7,933
0.6,fit,6,9,1,9,934
0.6,score,6,9,1,9,935
0.6,fit,4,5,5,11,936
0.6,score,4,5,5,11,937
0.56,fit,4,7,4,10,938
0.56,score,4,7,4,10,939
0.56,fit,4,6,5,10,940
