specialist_score,specialist_cycle,cm_true_positive,cm_false_positive,cm_false_negative,cm_true_negative,gen
0,fit,,,,,700
0,score,,,,,701
0.32,fit,13,6,28,3,702
0.32,score,13,6,28,3,703
0.56,fit,24,7,15,4,704
0.56,score,24,7,15,4,705
0.4,fit,19,8,22,1,706
0.4,score,19,8,22,1,707
0.34,fit,15,9,24,2,708
0.34,score,15,9,24,2,709
0.36,fit,15,5,27,3,710
0.36,score,15,5,27,3,711
0.28,fit,10,11,25,4,712
0.28,score,10,11,25,4,713
0.26,fit,6,5,32,7,714
0.26,score,6,5,32,7,715
0.38,fit,12,7,24,7,716
0.38,score,12,7,24,7,717
0.32,fit,10,7,27,6,718
0.32,score,10,7,27,6,719
0.54,fit,17,6,17,10,720
0.54,score,17,6,17,10,721
0.44,fit,15,7,21,7,722
0.44,score,15,7,21,7,723
0.36,fit,12,11,21,6,724
0.36,score,12,11,21,6,725
0.38,fit,12,10,21,7,726
0.38,score,12,10,21,7,727
0.48,fit,14,6,20,10,728
0.48,score,14,6,20,10,729
0.44,fit,13,8,20,9,730
0.44,score,13,8,20,9,731
0.46,fit,11,12,15,12,732
0.46,score,11,12,15,12,733
0.42,fit,9,14,15,12,734
0.42,score,9,14,15,12,735
0.44,fit,4,9,19,18,736
0.44,score,4,9,19,18,737
0.42,fit,6,8,21,15,738
0.42,score,6,8,21,15,739
0.46,fit,5,5,22,18,740
0.46,score,5,5,22,18,741
0.52,fit,7,9,15,19,742
0.52,score,7,9,15,19,743
0.42,fit,6,12,17,15,744
0.42,score,6,12,17,15,745
0.6,fit,9,8,12,21,746
0.6,score,9,8,12,21,747
0.52,fit,8,14,10,18,748
0.52,score,8,14,10,18,749
0.66,fit,9,10,7,24,750
0.66,score,9,10,7,24,751
0.66,fit,8,11,6,25,752
0.66,score,8,11,6,25,753
0.64,fit,5,12,6,27,754
0.64,score,5,12,6,27,755
0.7,score,7,12,3,28,756
0.66,fit,10,12,5,23,757
0.66,score,10,12,5,23,758
0.58,fit,8,17,4,21,759
0.58,score,8,17,4,21,760
0.74,score,6,10,3,31,761
0.66,fit,9,15,2,24,762
0.66,score,9,15,2,24,763
0.8,score,8,9,1,32,764
0.6,fit,5,15,5,25,765
0.6,score,5,15,5,25,766
0.64,fit,3,14,4,29,767
0.64,score,3,14,4,29,768
0.78,score,10,9,2,29,769
0.56,fit,3,20,2,25,770
0.56,score,3,20,2,25,771
0.72,score,5,14,0,31,772
0.62,fit,6,18,1,25,773
0.62,score,6,18,1,25,774
0.78,score,5,10,1,34,775
0.76,score,3,11,1,35,776
0.82,score,4,7,2,37,777
0.6,fit,9,20,0,21,778
0.6,score,9,20,0,21,779
0.6,fit,2,20,0,28,780
0.6,score,2,20,0,28,781
0.76,score,9,12,0,29,782
0.7,score,4,14,1,31,783
0.58,fit,3,19,2,26,784
0.58,score,3,19,2,26,785
0.62,fit,6,17,2,25,786
0.62,score,6,17,2,25,787
0.68,fit,8,14,2,26,788
0.68,score,8,14,2,26,789
0.64,fit,5,18,0,27,790
0.64,score,5,18,0,27,791
0.54,fit,3,23,0,24,792
0.54,score,3,23,0,24,793
0.76,score,4,12,0,34,794
0.7,score,6,15,0,29,795
0.84,score,7,8,0,35,796
0.66,fit,4,17,0,29,797
0.66,score,4,17,0,29,798
0.64,fit,8,18,0,24,799
0.64,score,8,18,0,24,800
0.7,score,3,15,0,32,801
0.78,score,4,11,0,35,802
0.68,fit,3,16,0,31,803
0.68,score,3,16,0,31,804
0.64,fit,4,17,1,28,805
0.64,score,4,17,1,28,806
0.72,score,6,14,0,30,807
0.78,score,4,11,0,35,808
0.78,score,3,11,0,36,809
0.72,score,4,13,1,32,810
0.64,fit,2,18,0,30,811
0.64,score,2,18,0,30,812
0.68,fit,1,16,0,33,813
0.68,score,1,16,0,33,814
0.62,fit,3,19,0,28,815
0.62,score,3,19,0,28,816
0.74,score,5,13,0,32,817
0.6,fit,4,19,1,26,818
0.6,score,4,19,1,26,819
0.72,score,1,14,0,35,820
0.76,score,5,12,0,33,821
0.78,score,3,11,0,36,822
0.72,score,4,14,0,32,823
0.76,score,0,12,0,38,824
0.7,score,1,15,0,34,825
0.76,score,0,12,0,38,826
0.6,fit,3,20,0,27,827
0.6,score,3,20,0,27,828
0.58,fit,4,21,0,25,829
0.58,score,4,21,0,25,830
0.62,fit,2,19,0,29,831
0.62,score,2,19,0,29,832
0.78,score,3,11,0,36,833
0.64,fit,3,18,0,29,834
0.64,score,3,18,0,29,835
0.7,score,1,15,0,34,836
0.68,fit,3,16,0,31,837
0.68,score,3,16,0,31,838
0.66,fit,0,17,0,33,839
0.66,score,0,17,0,33,840
0.62,fit,3,19,0,28,841
0.62,score,3,19,0,28,842
0.54,fit,0,23,0,27,843
0.54,score,0,23,0,27,844
0.64,fit,0,18,0,32,845
0.64,score,0,18,0,32,846
0.68,fit,1,16,0,33,847
0.68,score,1,16,0,33,848
0.68,fit,0,16,0,34,849
0.68,score,0,16,0,34,850
0.62,fit,2,19,0,29,851
0.62,score,2,19,0,29,852
0.6,fit,1,20,0,29,853
0.6,score,1,20,0,29,854
0.64,fit,1,18,0,31,855
0.64,score,1,18,0,31,856
0.68,fit,0,16,0,34,857
0.68,score,0,16,0,34,858
0.58,fit,0,21,0,29,859
0.58,score,0,21,0,29,860
0.66,fit,2,17,0,31,861
0.66,score,2,17,0,31,862
0.72,score,0,14,0,36,863
0.6,fit,0,20,0,30,864
0.6,score,0,20,0,30,865
0.54,fit,0,23,0,27,866
0.54,score,0,23,0,27,867
0.72,score,0,14,0,36,868
0.62,fit,1,19,0,30,869
0.62,score,1,19,0,30,870
0.68,fit,2,16,0,32,871
0.68,score,2,16,0,32,872
0.76,score,2,12,0,36,873
0.6,fit,0,20,0,30,874
0.6,score,0,20,0,30,875
0.84,score,1,8,0,41,876
0.7,score,0,15,0,35,877
0.72,score,0,14,0,36,878
0.58,fit,1,21,0,28,879
0.58,score,1,21,0,28,880
0.78,score,1,11,0,38,881
0.72,score,0,14,0,36,882
0.6,fit,1,20,0,29,883
0.6,score,1,20,0,29,884
0.62,fit,0,19,0,31,885
0.62,score,0,19,0,31,886
0.58,fit,0,21,0,29,887
0.58,score,0,21,0,29,888
0.58,fit,0,21,0,29,889
0.58,score,0,21,0,29,890
0.56,fit,0,22,0,28,891
0.56,score,0,22,0,28,892
0.58,fit,0,21,0,29,893
0.58,score,0,21,0,29,894
0.62,fit,0,19,0,31,895
0.62,score,0,19,0,31,896
0.58,fit,0,21,0,29,897
0.58,score,0,21,0,29,898
0.62,fit,0,19,0,31,899
0.62,score,0,19,0,31,900
0.72,score,0,14,0,36,901
0.66,fit,0,17,0,33,902
0.66,score,0,17,0,33,903
0.68,fit,0,16,0,34,904
0.68,score,0,16,0,34,905
0.76,score,0,12,0,38,906
0.66,fit,0,17,0,33,907
0.66,score,0,17,0,33,908
0.68,fit,0,16,0,34,909
0.68,score,0,16,0,34,910
0.7,score,0,15,0,35,911
0.64,fit,0,18,0,32,912
0.64,score,0,18,0,32,913
0.62,fit,0,19,0,31,914
0.62,score,0,19,0,31,915
0.62,fit,0,19,0,31,916
0.62,score,0,19,0,31,917
0.54,fit,0,23,0,27,918
0.54,score,0,23,0,27,919
0.5,fit,0,25,0,25,920
0.5,score,0,25,0,25,921
0.62,fit,0,19,0,31,922
0.62,score,0,19,0,31,923
0.66,fit,0,17,0,33,924
0.66,score,0,17,0,33,925
0.74,score,1,13,0,36,926
0.74,score,0,13,0,37,927
0.7,score,1,15,0,34,928
0.72,score,0,14,0,36,929
0.74,score,1,13,0,36,930
0.66,fit,0,17,0,33,931
0.66,score,0,17,0,33,932
0.7,score,0,15,0,35,933
0.68,fit,0,16,0,34,934
0.68,score,0,16,0,34,935
0.6,fit,0,20,0,30,936
0.6,score,0,20,0,30,937
0.74,score,0,13,0,37,938
0.74,score,0,13,0,37,939
0.66,fit,0,17,0,33,940
0.66,score,0,17,0,33,941
