specialist_score,specialist_cycle,cm_true_positive,cm_false_positive,cm_false_negative,cm_true_negative,gen
0,fit,,,,,700
0,score,,,,,701
0.24,fit,11,8,30,1,702
0.24,score,11,8,30,1,703
0.26,fit,11,7,30,2,704
0.26,score,11,7,30,2,705
0.46,fit,20,7,20,3,706
0.46,score,20,7,20,3,707
0.2,fit,4,14,26,6,708
0.2,score,4,14,26,6,709
0.24,fit,7,7,31,5,710
0.24,score,7,7,31,5,711
0.42,fit,21,8,21,0,712
0.42,score,21,8,21,0,713
0.36,fit,13,6,26,5,714
0.36,score,13,6,26,5,715
0.38,fit,13,5,26,6,716
0.38,score,13,5,26,6,717
0.34,fit,11,9,24,6,718
0.34,score,11,9,24,6,719
0.24,fit,6,12,26,6,720
0.24,score,6,12,26,6,721
0.44,fit,12,10,18,10,722
0.44,score,12,10,18,10,723
0.36,fit,13,8,24,5,724
0.36,score,13,8,24,5,725
0.34,fit,7,8,25,10,726
0.34,score,7,8,25,10,727
0.46,fit,15,7,20,8,728
0.46,score,15,7,20,8,729
0.5,fit,14,12,13,11,730
0.5,score,14,12,13,11,731
0.44,fit,12,8,20,10,732
0.44,score,12,8,20,10,733
0.4,fit,10,13,17,10,734
0.4,score,10,13,17,10,735
0.36,fit,10,17,15,8,736
0.36,score,10,17,15,8,737
0.54,fit,9,9,14,18,738
0.54,score,9,9,14,18,739
0.5,fit,6,8,17,19,740
0.5,score,6,8,17,19,741
0.6,fit,11,8,12,19,742
0.6,score,11,8,12,19,743
0.58,fit,13,13,8,16,744
0.58,score,13,13,8,16,745
0.46,fit,7,13,14,16,746
0.46,score,7,13,14,16,747
0.58,fit,9,12,9,20,748
0.58,score,9,12,9,20,749
0.58,fit,12,12,9,17,750
0.58,score,12,12,9,17,751
0.62,fit,6,12,7,25,752
0.62,score,6,12,7,25,753
0.78,score,13,7,4,26,754
0.64,fit,7,11,7,25,755
0.64,score,7,11,7,25,756
0.64,fit,8,16,2,24,757
0.64,score,8,16,2,24,758
0.64,fit,9,16,2,23,759
0.64,score,9,16,2,23,760
0.78,score,6,9,2,33,761
0.64,fit,4,14,4,28,762
0.64,score,4,14,4,28,763
0.7,score,9,12,3,26,764
0.68,fit,9,15,1,25,765
0.68,score,9,15,1,25,766
0.72,score,8,12,2,28,767
0.7,score,5,15,0,30,768
0.68,fit,3,13,3,31,769
0.68,score,3,13,3,31,770
0.64,fit,3,17,1,29,771
0.64,score,3,17,1,29,772
0.66,fit,6,15,2,27,773
0.66,score,6,15,2,27,774
0.7,score,4,14,1,31,775
0.54,fit,6,22,1,21,776
0.54,score,6,22,1,21,777
0.7,score,6,14,1,29,778
0.72,score,7,14,0,29,779
0.76,score,4,12,0,34,780
0.78,score,4,11,0,35,781
0.74,score,9,13,0,28,782
0.7,score,7,15,0,28,783
0.64,fit,2,17,1,30,784
0.64,score,2,17,1,30,785
0.7,score,4,15,0,31,786
0.8,score,3,9,1,37,787
0.64,fit,4,17,1,28,788
0.64,score,4,17,1,28,789
0.76,score,3,12,0,35,790
0.7,score,2,15,0,33,791
0.66,fit,1,17,0,32,792
0.66,score,1,17,0,32,793
0.74,score,3,11,2,34,794
0.78,score,6,11,0,33,795
0.74,score,1,13,0,36,796
0.78,score,3,11,0,36,797
0.66,fit,3,17,0,30,798
0.66,score,3,17,0,30,799
0.68,fit,3,15,1,31,800
0.68,score,3,15,1,31,801
0.76,score,3,12,0,35,802
0.66,fit,6,17,0,27,803
0.66,score,6,17,0,27,804
0.72,score,5,14,0,31,805
0.84,score,3,8,0,39,806
0.62,fit,1,18,1,30,807
0.62,score,1,18,1,30,808
0.64,fit,1,18,0,31,809
0.64,score,1,18,0,31,810
0.74,score,6,13,0,31,811
0.64,fit,0,18,0,32,812
0.64,score,0,18,0,32,813
0.74,score,1,13,0,36,814
0.7,score,1,15,0,34,815
0.62,fit,1,19,0,30,816
0.62,score,1,19,0,30,817
0.52,fit,0,24,0,26,818
0.52,score,0,24,0,26,819
0.7,score,0,15,0,35,820
0.62,fit,0,19,0,31,821
0.62,score,0,19,0,31,822
0.7,score,2,15,0,33,823
0.62,fit,1,19,0,30,824
0.62,score,1,19,0,30,825
0.52,fit,1,24,0,25,826
0.52,score,1,24,0,25,827
0.66,fit,0,17,0,33,828
0.66,score,0,17,0,33,829
0.6,fit,1,20,0,29,830
0.6,score,1,20,0,29,831
0.68,fit,1,16,0,33,832
0.68,score,1,16,0,33,833
0.68,fit,0,16,0,34,834
0.68,score,0,16,0,34,835
0.58,fit,1,22,0,27,836
0.58,score,1,22,0,27,837
0.62,fit,1,19,0,30,838
0.62,score,1,19,0,30,839
0.62,fit,0,19,0,31,840
0.62,score,0,19,0,31,841
0.54,fit,0,23,0,27,842
0.54,score,0,23,0,27,843
0.68,fit,0,16,0,34,844
0.68,score,0,16,0,34,845
0.64,fit,1,18,0,31,846
0.64,score,1,18,0,31,847
0.8,score,0,10,0,40,848
0.76,score,0,12,0,38,849
0.48,fit,0,26,0,24,850
0.48,score,0,26,0,24,851
0.58,fit,0,21,0,29,852
0.58,score,0,21,0,29,853
0.64,fit,0,18,0,32,854
0.64,score,0,18,0,32,855
0.62,fit,0,19,0,31,856
0.62,score,0,19,0,31,857
0.74,score,0,13,0,37,858
0.68,fit,0,16,0,34,859
0.68,score,0,16,0,34,860
0.66,fit,0,17,0,33,861
0.66,score,0,17,0,33,862
0.6,fit,0,20,0,30,863
0.6,score,0,20,0,30,864
0.62,fit,0,19,0,31,865
0.62,score,0,19,0,31,866
0.72,score,0,14,0,36,867
0.64,fit,0,18,0,32,868
0.64,score,0,18,0,32,869
0.52,fit,0,24,0,26,870
0.52,score,0,24,0,26,871
0.62,fit,0,19,0,31,872
0.62,score,0,19,0,31,873
0.62,fit,0,19,0,31,874
0.62,score,0,19,0,31,875
0.64,fit,0,18,0,32,876
0.64,score,0,18,0,32,877
0.68,fit,0,16,0,34,878
0.68,score,0,16,0,34,879
0.6,fit,0,20,0,30,880
0.6,score,0,20,0,30,881
0.72,score,1,14,0,35,882
0.6,fit,0,20,0,30,883
0.6,score,0,20,0,30,884
0.58,fit,1,21,0,28,885
0.58,score,1,21,0,28,886
0.64,fit,0,18,0,32,887
0.64,score,0,18,0,32,888
0.54,fit,1,23,0,26,889
0.54,score,1,23,0,26,890
0.7,score,0,15,0,35,891
0.68,fit,0,16,0,34,892
0.68,score,0,16,0,34,893
0.74,score,1,13,0,36,894
0.6,fit,0,20,0,30,895
0.6,score,0,20,0,30,896
0.8,score,0,10,0,40,897
0.72,score,0,14,0,36,898
0.54,fit,0,23,0,27,899
0.54,score,0,23,0,27,900
0.56,fit,0,22,0,28,901
0.56,score,0,22,0,28,902
0.74,score,0,13,0,37,903
0.74,score,0,13,0,37,904
0.7,score,0,15,0,35,905
0.72,score,0,14,0,36,906
0.64,fit,0,18,0,32,907
0.64,score,0,18,0,32,908
0.68,fit,0,16,0,34,909
0.68,score,0,16,0,34,910
0.68,fit,0,16,0,34,911
0.68,score,0,16,0,34,912
0.68,fit,0,16,0,34,913
0.68,score,0,16,0,34,914
0.76,score,0,12,0,38,915
0.6,fit,0,20,0,30,916
0.6,score,0,20,0,30,917
0.6,fit,0,20,0,30,918
0.6,score,0,20,0,30,919
0.6,fit,0,20,0,30,920
0.6,score,0,20,0,30,921
0.64,fit,0,18,0,32,922
0.64,score,0,18,0,32,923
0.64,fit,0,18,0,32,924
0.64,score,0,18,0,32,925
0.62,fit,0,19,0,31,926
0.62,score,0,19,0,31,927
0.62,fit,0,19,0,31,928
0.62,score,0,19,0,31,929
0.6,fit,0,20,0,30,930
0.6,score,0,20,0,30,931
0.54,fit,0,23,0,27,932
0.54,score,0,23,0,27,933
0.66,fit,0,17,0,33,934
0.66,score,0,17,0,33,935
0.68,fit,0,16,0,34,936
0.68,score,0,16,0,34,937
0.58,fit,0,21,0,29,938
0.58,score,0,21,0,29,939
0.66,fit,0,17,0,33,940
0.66,score,0,17,0,33,941
