specialist_score,specialist_cycle,cm_true_positive,cm_false_positive,cm_false_negative,cm_true_negative,gen
0.68,fit,0,16,0,34,942
0.68,score,0,16,0,34,943
0.66,fit,0,17,0,33,944
0.66,score,0,17,0,33,945
0.68,fit,1,16,0,33,946
0.68,score,1,16,0,33,947
0.66,fit,0,17,0,33,948
0.66,score,0,17,0,33,949
0.62,fit,0,19,0,31,950
0.62,score,0,19,0,31,951
0.64,fit,0,18,0,32,952
0.64,score,0,18,0,32,953
0.62,fit,0,19,0,31,954
0.62,score,0,19,0,31,955
0.6,fit,0,20,0,30,956
0.6,score,0,20,0,30,957
0.66,fit,0,17,0,33,958
0.66,score,0,17,0,33,959
0.68,fit,0,16,0,34,960
0.68,score,0,16,0,34,961
0.64,fit,0,18,0,32,962
0.64,score,0,18,0,32,963
0.64,fit,0,18,0,32,964
0.64,score,0,18,0,32,965
0.68,fit,0,16,0,34,966
0.68,score,0,16,0,34,967
0.74,score,0,13,0,37,968
0.64,fit,0,18,0,32,969
0.64,score,0,18,0,32,970
0.72,score,0,14,0,36,971
0.64,fit,0,18,0,32,972
0.64,score,0,18,0,32,973
0.54,fit,0,23,0,27,974
0.54,score,0,23,0,27,975
0.64,fit,0,18,0,32,976
0.64,score,0,18,0,32,977
0.56,fit,0,22,0,28,978
0.56,score,0,22,0,28,979
0.72,score,0,14,0,36,980
0.7,score,0,15,0,35,981
0.68,fit,0,16,0,34,982
0.68,score,0,16,0,34,983
0.68,fit,0,16,0,34,984
0.68,score,0,16,0,34,985
0.68,fit,0,16,0,34,986
0.68,score,0,16,0,34,987
0.58,fit,0,21,0,29,988
0.58,score,0,21,0,29,989
0.68,fit,0,16,0,34,990
0.68,score,0,16,0,34,991
0.66,fit,0,17,0,33,992
0.66,score,0,17,0,33,993
0.82,score,0,9,0,41,994
0.6,fit,0,20,0,30,995
0.6,score,0,20,0,30,996
0.72,score,0,14,0,36,997
0.66,fit,0,17,0,33,998
0.66,score,0,17,0,33,999
0.64,fit,0,18,0,32,1000
0.64,score,0,18,0,32,1001
0.56,fit,0,22,0,28,1002
0.56,score,0,22,0,28,1003
0.6,fit,0,20,0,30,1004
0.6,score,0,20,0,30,1005
0.74,score,0,13,0,37,1006
0.7,score,0,15,0,35,1007
0.54,fit,0,23,0,27,1008
0.54,score,0,23,0,27,1009
0.68,fit,0,16,0,34,1010
0.68,score,0,16,0,34,1011
0.68,fit,0,16,0,34,1012
0.68,score,0,16,0,34,1013
0.6,fit,0,20,0,30,1014
0.6,score,0,20,0,30,1015
0.62,fit,0,19,0,31,1016
0.62,score,0,19,0,31,1017
0.68,fit,0,16,0,34,1018
0.68,score,0,16,0,34,1019
0.72,score,0,14,0,36,1020
0.74,score,0,13,0,37,1021
0.72,score,0,14,0,36,1022
0.7,score,0,15,0,35,1023
0.62,fit,0,19,0,31,1024
0.62,score,0,19,0,31,1025
0.62,fit,0,19,0,31,1026
0.62,score,0,19,0,31,1027
0.6,fit,0,20,0,30,1028
0.6,score,0,20,0,30,1029
0.66,fit,0,17,0,33,1030
0.66,score,0,17,0,33,1031
0.66,fit,0,17,0,33,1032
0.66,score,0,17,0,33,1033
0.68,fit,0,16,0,34,1034
0.68,score,0,16,0,34,1035
0.66,fit,0,17,0,33,1036
0.66,score,0,17,0,33,1037
0.72,score,0,14,0,36,1038
0.6,fit,0,20,0,30,1039
0.6,score,0,20,0,30,1040
0.64,fit,0,18,0,32,1041
0.64,score,0,18,0,32,1042
0.68,fit,0,16,0,34,1043
0.68,score,0,16,0,34,1044
0.66,fit,0,17,0,33,1045
0.66,score,0,17,0,33,1046
0.66,fit,0,17,0,33,1047
0.66,score,0,17,0,33,1048
0.56,fit,0,22,0,28,1049
0.56,score,0,22,0,28,1050
0.56,fit,0,22,0,28,1051
0.56,score,0,22,0,28,1052
0.72,score,0,14,0,36,1053
0.74,score,0,13,0,37,1054
0.64,fit,0,18,0,32,1055
0.64,score,0,18,0,32,1056
0.74,score,0,13,0,37,1057
0.8,score,0,10,0,40,1058
0.56,fit,0,22,0,28,1059
0.56,score,0,22,0,28,1060
0.72,score,0,14,0,36,1061
0.66,fit,0,17,0,33,1062
0.66,score,0,17,0,33,1063
0.66,fit,0,17,0,33,1064
0.66,score,0,17,0,33,1065
0.68,fit,0,16,0,34,1066
0.68,score,0,16,0,34,1067
0.74,score,0,13,0,37,1068
0.64,fit,0,18,0,32,1069
0.64,score,0,18,0,32,1070
0.7,score,0,15,0,35,1071
0.66,fit,0,17,0,33,1072
0.66,score,0,17,0,33,1073
0.74,score,0,13,0,37,1074
0.54,fit,0,23,0,27,1075
0.54,score,0,23,0,27,1076
0.74,score,0,13,0,37,1077
0.62,fit,0,19,0,31,1078
0.62,score,0,19,0,31,1079
0.6,fit,0,20,0,30,1080
0.6,score,0,20,0,30,1081
0.66,fit,0,17,0,33,1082
0.66,score,0,17,0,33,1083
0.58,fit,0,21,0,29,1084
0.58,score,0,21,0,29,1085
0.7,score,0,15,0,35,1086
0.64,fit,0,18,0,32,1087
0.64,score,0,18,0,32,1088
0.72,score,0,14,0,36,1089
0.74,score,0,13,0,37,1090
0.64,fit,0,18,0,32,1091
0.64,score,0,18,0,32,1092
0.62,fit,0,19,0,31,1093
0.62,score,0,19,0,31,1094
0.58,fit,0,21,0,29,1095
0.58,score,0,21,0,29,1096
0.62,fit,0,19,0,31,1097
0.62,score,0,19,0,31,1098
0.84,score,0,8,0,42,1099
0.64,fit,0,18,0,32,1100
0.64,score,0,18,0,32,1101
0.66,fit,0,17,0,33,1102
0.66,score,0,17,0,33,1103
0.76,score,0,12,0,38,1104
0.64,fit,0,18,0,32,1105
0.64,score,0,18,0,32,1106
0.64,fit,0,18,0,32,1107
0.64,score,0,18,0,32,1108
0.74,score,0,13,0,37,1109
0.68,fit,0,16,0,34,1110
0.68,score,0,16,0,34,1111
0.78,score,0,11,0,39,1112
0.62,fit,0,19,0,31,1113
0.62,score,0,19,0,31,1114
0.64,fit,0,18,0,32,1115
0.64,score,0,18,0,32,1116
0.72,score,0,14,0,36,1117
0.64,fit,0,18,0,32,1118
0.64,score,0,18,0,32,1119
0.56,fit,0,22,0,28,1120
0.56,score,0,22,0,28,1121
0.64,fit,0,18,0,32,1122
0.64,score,0,18,0,32,1123
0.64,fit,0,18,0,32,1124
0.64,score,0,18,0,32,1125
0.52,fit,0,24,0,26,1126
0.52,score,0,24,0,26,1127
0.66,fit,0,17,0,33,1128
0.66,score,0,17,0,33,1129
0.66,fit,0,17,0,33,1130
0.66,score,0,17,0,33,1131
0.62,fit,0,19,0,31,1132
0.62,score,0,19,0,31,1133
0.76,score,0,12,0,38,1134
0.72,score,0,14,0,36,1135
0.64,fit,0,18,0,32,1136
0.64,score,0,18,0,32,1137
0.7,score,0,15,0,35,1138
0.64,fit,0,18,0,32,1139
0.64,score,0,18,0,32,1140
0.66,fit,0,17,0,33,1141
0.66,score,0,17,0,33,1142
0.7,score,0,15,0,35,1143
0.64,fit,0,18,0,32,1144
0.64,score,0,18,0,32,1145
0.66,fit,0,17,0,33,1146
0.66,score,0,17,0,33,1147
0.74,score,0,13,0,37,1148
0.72,score,0,14,0,36,1149
0.74,score,0,13,0,37,1150
0.76,score,0,12,0,38,1151
0.72,score,0,14,0,36,1152
0.66,fit,0,17,0,33,1153
0.66,score,0,17,0,33,1154
0.76,score,0,12,0,38,1155
0.74,score,0,13,0,37,1156
0.76,score,0,12,0,38,1157
0.74,score,0,13,0,37,1158
0.66,fit,0,17,0,33,1159
0.66,score,0,17,0,33,1160
0.76,score,0,12,0,38,1161
0.66,fit,0,17,0,33,1162
0.66,score,0,17,0,33,1163
0.74,score,0,13,0,37,1164
0.72,score,0,14,0,36,1165
0.76,score,0,12,0,38,1166
0.68,fit,0,16,0,34,1167
0.68,score,0,16,0,34,1168
0.7,score,0,15,0,35,1169
0.8,score,0,10,0,40,1170
0.58,fit,0,21,0,29,1171
0.58,score,0,21,0,29,1172
0.58,fit,0,21,0,29,1173
0.58,score,0,21,0,29,1174
0.74,score,0,13,0,37,1175
0.62,fit,0,19,0,31,1176
0.62,score,0,19,0,31,1177
0.72,score,0,14,0,36,1178
0.78,score,0,11,0,39,1179
0.68,fit,0,16,0,34,1180
0.68,score,0,16,0,34,1181
0.64,fit,0,18,0,32,1182
0.64,score,0,18,0,32,1183
0.68,fit,0,16,0,34,1184
0.68,score,0,16,0,34,1185
0.68,fit,0,16,0,34,1186
0.68,score,0,16,0,34,1187
0.76,score,0,12,0,38,1188
0.68,fit,0,16,0,34,1189
0.68,score,0,16,0,34,1190
0.68,fit,0,16,0,34,1191
0.68,score,0,16,0,34,1192
0.7,score,0,15,0,35,1193
0.54,fit,0,23,0,27,1194
0.54,score,0,23,0,27,1195
0.68,fit,0,16,0,34,1196
0.68,score,0,16,0,34,1197
0.68,fit,0,16,0,34,1198
0.68,score,0,16,0,34,1199
0.72,score,0,14,0,36,1200
0.78,score,0,11,0,39,1201
0.8,score,0,10,0,40,1202
0.68,fit,0,16,0,34,1203
0.68,score,0,16,0,34,1204
0.8,score,0,10,0,40,1205
0.7,score,0,15,0,35,1206
0.74,score,0,13,0,37,1207
0.58,fit,0,21,0,29,1208
0.58,score,0,21,0,29,1209
0.8,score,0,10,0,40,1210
0.58,fit,0,21,0,29,1211
0.58,score,0,21,0,29,1212
0.7,score,0,15,0,35,1213
0.74,score,0,13,0,37,1214
0.74,score,0,13,0,37,1215
0.62,fit,0,19,0,31,1216
0.62,score,0,19,0,31,1217
0.68,fit,0,16,0,34,1218
0.68,score,0,16,0,34,1219
0.78,score,0,11,0,39,1220
0.78,score,0,11,0,39,1221
0.72,score,0,14,0,36,1222
0.68,fit,0,16,0,34,1223
0.68,score,0,16,0,34,1224
0.72,score,0,14,0,36,1225
0.66,fit,0,17,0,33,1226
0.66,score,0,17,0,33,1227
0.76,score,0,12,0,38,1228
0.64,fit,0,18,0,32,1229
0.64,score,0,18,0,32,1230
0.72,score,0,14,0,36,1231
0.66,fit,0,17,0,33,1232
0.66,score,0,17,0,33,1233
0.64,fit,0,18,0,32,1234
0.64,score,0,18,0,32,1235
0.76,score,0,12,0,38,1236
0.58,fit,0,21,0,29,1237
0.58,score,0,21,0,29,1238
0.68,fit,0,16,0,34,1239
0.68,score,0,16,0,34,1240
0.72,score,0,14,0,36,1241
0.78,score,0,11,0,39,1242
0.7,score,0,15,0,35,1243
0.7,score,0,15,0,35,1244
0.62,fit,0,19,0,31,1245
0.62,score,0,19,0,31,1246
0.7,score,0,15,0,35,1247
0.64,fit,0,18,0,32,1248
0.64,score,0,18,0,32,1249
0.8,score,0,10,0,40,1250
0.62,fit,0,19,0,31,1251
0.62,score,0,19,0,31,1252
0.64,fit,0,18,0,32,1253
0.64,score,0,18,0,32,1254
0.72,score,0,14,0,36,1255
0.72,score,0,14,0,36,1256
0.62,fit,0,19,0,31,1257
0.62,score,0,19,0,31,1258
0.76,score,0,12,0,38,1259
0.62,fit,0,19,0,31,1260
0.62,score,0,19,0,31,1261
0.68,fit,0,16,0,34,1262
0.68,score,0,16,0,34,1263
0.74,score,0,13,0,37,1264
0.68,fit,0,16,0,34,1265
0.68,score,0,16,0,34,1266
0.78,score,0,11,0,39,1267
0.8,score,0,10,0,40,1268
0.7,score,0,15,0,35,1269
0.7,score,0,15,0,35,1270
0.58,fit,0,21,0,29,1271
0.58,score,0,21,0,29,1272
0.74,score,0,13,0,37,1273
0.74,score,0,13,0,37,1274
0.74,score,0,13,0,37,1275
0.7,score,0,15,0,35,1276
0.76,score,0,12,0,38,1277
0.64,fit,0,18,0,32,1278
0.64,score,0,18,0,32,1279
0.74,score,0,13,0,37,1280
0.72,score,0,14,0,36,1281
0.7,score,0,15,0,35,1282
0.56,fit,0,22,0,28,1283
0.56,score,0,22,0,28,1284
0.64,fit,0,18,0,32,1285
0.64,score,0,18,0,32,1286
0.7,score,0,15,0,35,1287
0.82,score,0,9,0,41,1288
0.7,score,0,15,0,35,1289
0.76,score,0,12,0,38,1290
0.74,score,0,13,0,37,1291
0.72,score,0,14,0,36,1292
0.62,fit,0,19,0,31,1293
0.62,score,0,19,0,31,1294
0.7,score,0,15,0,35,1295
0.78,score,0,11,0,39,1296
0.62,fit,0,19,0,31,1297
0.62,score,0,19,0,31,1298
0.74,score,0,13,0,37,1299
0.84,score,0,8,0,42,1300
0.74,score,0,13,0,37,1301
0.66,fit,0,17,0,33,1302
0.66,score,0,17,0,33,1303
0.72,score,0,14,0,36,1304
0.78,score,0,11,0,39,1305
0.84,score,0,8,0,42,1306
0.7,score,0,15,0,35,1307
0.62,fit,0,19,0,31,1308
0.62,score,0,19,0,31,1309
0.72,score,0,14,0,36,1310
0.74,score,0,13,0,37,1311
0.66,fit,0,17,0,33,1312
0.66,score,0,17,0,33,1313
0.72,score,0,14,0,36,1314
0.62,fit,0,19,0,31,1315
0.62,score,0,19,0,31,1316
0.7,score,0,15,0,35,1317
0.7,score,0,15,0,35,1318
0.72,score,0,14,0,36,1319
0.62,fit,0,19,0,31,1320
0.62,score,0,19,0,31,1321
0.66,fit,0,17,0,33,1322
0.66,score,0,17,0,33,1323
0.64,fit,0,18,0,32,1324
0.64,score,0,18,0,32,1325
0.78,score,0,11,0,39,1326
0.62,fit,0,19,0,31,1327
0.62,score,0,19,0,31,1328
0.76,score,0,12,0,38,1329
0.6,fit,0,20,0,30,1330
0.6,score,0,20,0,30,1331
0.68,fit,0,16,0,34,1332
0.68,score,0,16,0,34,1333
0.7,score,0,15,0,35,1334
0.66,fit,0,17,0,33,1335
0.66,score,0,17,0,33,1336
0.76,score,0,12,0,38,1337
0.78,score,0,11,0,39,1338
0.66,fit,0,17,0,33,1339
0.66,score,0,17,0,33,1340
0.66,fit,0,17,0,33,1341
0.66,score,0,17,0,33,1342
0.66,fit,0,17,0,33,1343
0.66,score,0,17,0,33,1344
0.78,score,0,11,0,39,1345
0.66,fit,0,17,0,33,1346
0.66,score,0,17,0,33,1347
0.58,fit,0,21,0,29,1348
0.58,score,0,21,0,29,1349
0.66,fit,0,17,0,33,1350
0.66,score,0,17,0,33,1351
0.7,score,0,15,0,35,1352
0.76,score,0,12,0,38,1353
0.76,score,0,12,0,38,1354
0.8,score,0,10,0,40,1355
0.62,fit,0,19,0,31,1356
0.62,score,0,19,0,31,1357
0.58,fit,0,21,0,29,1358
0.58,score,0,21,0,29,1359
0.66,fit,0,17,0,33,1360
0.66,score,0,17,0,33,1361
0.64,fit,0,18,0,32,1362
0.64,score,0,18,0,32,1363
0.84,score,0,8,0,42,1364
0.62,fit,0,19,0,31,1365
0.62,score,0,19,0,31,1366
0.52,fit,0,24,0,26,1367
0.52,score,0,24,0,26,1368
0.52,fit,0,24,0,26,1369
0.52,score,0,24,0,26,1370
0.62,fit,0,19,0,31,1371
0.62,score,0,19,0,31,1372
0.66,fit,0,17,0,33,1373
0.66,score,0,17,0,33,1374
0.66,fit,0,17,0,33,1375
0.66,score,0,17,0,33,1376
0.66,fit,0,17,0,33,1377
0.66,score,0,17,0,33,1378
0.72,score,0,14,0,36,1379
0.64,fit,0,18,0,32,1380
0.64,score,0,18,0,32,1381
0.62,fit,0,19,0,31,1382
0.62,score,0,19,0,31,1383
0.76,score,0,12,0,38,1384
0.72,score,0,14,0,36,1385
0.68,fit,0,16,0,34,1386
0.68,score,0,16,0,34,1387
0.72,score,0,14,0,36,1388
0.64,fit,0,18,0,32,1389
0.64,score,0,18,0,32,1390
0.74,score,0,13,0,37,1391
0.76,score,0,12,0,38,1392
0.68,fit,0,16,0,34,1393
0.68,score,0,16,0,34,1394
0.68,fit,0,16,0,34,1395
0.68,score,0,16,0,34,1396
0.6,fit,0,20,0,30,1397
0.6,score,0,20,0,30,1398
0.72,score,0,14,0,36,1399
0.78,score,0,11,0,39,1400
0.7,score,0,15,0,35,1401
0.68,fit,0,16,0,34,1402
0.68,score,0,16,0,34,1403
0.82,score,0,9,0,41,1404
0.68,fit,0,16,0,34,1405
0.68,score,0,16,0,34,1406
0.8,score,0,10,0,40,1407
0.74,score,0,13,0,37,1408
0.66,fit,0,17,0,33,1409
0.66,score,0,17,0,33,1410
0.68,fit,0,16,0,34,1411
0.68,score,0,16,0,34,1412
0.68,fit,0,16,0,34,1413
0.68,score,0,16,0,34,1414
0.64,fit,0,18,0,32,1415
0.64,score,0,18,0,32,1416
0.58,fit,0,21,0,29,1417
0.58,score,0,21,0,29,1418
0.78,score,0,11,0,39,1419
0.66,fit,0,17,0,33,1420
0.66,score,0,17,0,33,1421
0.62,fit,0,19,0,31,1422
0.62,score,0,19,0,31,1423
0.74,score,0,13,0,37,1424
0.86,score,0,7,0,43,1425
0.76,score,0,12,0,38,1426
0.7,score,0,15,0,35,1427
0.74,score,0,13,0,37,1428
0.8,score,0,10,0,40,1429
0.64,fit,0,18,0,32,1430
0.64,score,0,18,0,32,1431
0.72,score,0,14,0,36,1432
0.7,score,0,15,0,35,1433
0.72,score,0,14,0,36,1434
0.66,fit,0,17,0,33,1435
0.66,score,0,17,0,33,1436
0.62,fit,0,19,0,31,1437
0.62,score,0,19,0,31,1438
0.78,score,0,11,0,39,1439
0.64,fit,0,18,0,32,1440
0.64,score,0,18,0,32,1441
0.72,score,0,14,0,36,1442
0.7,score,0,15,0,35,1443
0.66,fit,0,17,0,33,1444
0.66,score,0,17,0,33,1445
0.68,fit,0,16,0,34,1446
0.68,score,0,16,0,34,1447
0.72,score,0,14,0,36,1448
0.72,score,0,14,0,36,1449
0.72,score,0,14,0,36,1450
0.8,score,0,10,0,40,1451
0.8,score,0,10,0,40,1452
0.8,score,0,10,0,40,1453
0.68,fit,0,16,0,34,1454
0.68,score,0,16,0,34,1455
0.74,score,0,13,0,37,1456
0.8,score,0,10,0,40,1457
0.6,fit,0,20,0,30,1458
0.6,score,0,20,0,30,1459
0.82,score,0,9,0,41,1460
0.76,score,0,12,0,38,1461
0.74,score,0,13,0,37,1462
0.68,fit,0,16,0,34,1463
0.68,score,0,16,0,34,1464
0.66,fit,0,17,0,33,1465
0.66,score,0,17,0,33,1466
0.64,fit,0,18,0,32,1467
0.64,score,0,18,0,32,1468
0.72,score,0,14,0,36,1469
0.68,fit,0,16,0,34,1470
0.68,score,0,16,0,34,1471
0.68,fit,0,16,0,34,1472
0.68,score,0,16,0,34,1473
0.8,score,0,10,0,40,1474
0.76,score,0,12,0,38,1475
0.78,score,0,11,0,39,1476
0.72,score,0,14,0,36,1477
0.62,fit,0,19,0,31,1478
0.62,score,0,19,0,31,1479
0.82,score,0,9,0,41,1480
0.68,fit,0,16,0,34,1481
0.68,score,0,16,0,34,1482
0.66,fit,0,17,0,33,1483
0.66,score,0,17,0,33,1484
0.72,score,0,14,0,36,1485
0.7,score,0,15,0,35,1486
0.62,fit,0,19,0,31,1487
0.62,score,0,19,0,31,1488
0.7,score,0,15,0,35,1489
0.78,score,0,11,0,39,1490
0.78,score,0,11,0,39,1491
0.72,score,0,14,0,36,1492
0.76,score,0,12,0,38,1493
0.82,score,0,9,0,41,1494
0.7,score,0,15,0,35,1495
0.72,score,0,14,0,36,1496
0.72,score,0,14,0,36,1497
0.76,score,0,12,0,38,1498
0.7,score,0,15,0,35,1499
0.58,fit,0,21,0,29,1500
0.58,score,0,21,0,29,1501
0.68,fit,0,16,0,34,1502
0.68,score,0,16,0,34,1503
0.68,fit,0,16,0,34,1504
0.68,score,0,16,0,34,1505
0.72,score,0,14,0,36,1506
0.72,score,0,14,0,36,1507
0.8,score,0,10,0,40,1508
0.72,score,0,14,0,36,1509
0.7,score,0,15,0,35,1510
0.6,fit,0,20,0,30,1511
0.6,score,0,20,0,30,1512
0.74,score,0,13,0,37,1513
0.7,score,0,15,0,35,1514
0.72,score,0,14,0,36,1515
0.7,score,0,15,0,35,1516
0.72,score,0,14,0,36,1517
