specialist_score,specialist_cycle,cm_true_positive,cm_false_positive,cm_false_negative,cm_true_negative,gen
0,fit,,,,,700
0,score,,,,,701
0.62,fit,29,11,8,2,702
0.62,score,29,11,8,2,703
0.58,fit,28,6,15,1,704
0.58,score,28,6,15,1,705
0.68,fit,33,5,10,2,706
0.68,score,33,5,10,2,707
0.6,fit,28,6,14,2,708
0.6,score,28,6,14,2,709
0.54,fit,27,6,17,0,710
0.54,score,27,6,17,0,711
0.44,fit,22,8,20,0,712
0.44,score,22,8,20,0,713
0.4,fit,20,7,23,0,714
0.4,score,20,7,23,0,715
0.46,fit,23,10,17,0,716
0.46,score,23,10,17,0,717
0.5,fit,24,7,18,1,718
0.5,score,24,7,18,1,719
0.54,fit,27,8,15,0,720
0.54,score,27,8,15,0,721
0.58,fit,28,8,13,1,722
0.58,score,28,8,13,1,723
0.4,fit,20,5,25,0,724
0.4,score,20,5,25,0,725
0.58,fit,29,5,16,0,726
0.58,score,29,5,16,0,727
0.74,score,36,2,11,1,728
0.56,fit,28,4,18,0,729
0.56,score,28,4,18,0,730
0.5,fit,25,5,20,0,731
0.5,score,25,5,20,0,732
0.86,score,43,2,5,0,733
0.6,fit,30,4,16,0,734
0.6,score,30,4,16,0,735
0.54,fit,27,3,20,0,736
0.54,score,27,3,20,0,737
0.54,fit,26,6,17,1,738
0.54,score,26,6,17,1,739
0.4,fit,20,8,22,0,740
0.4,score,20,8,22,0,741
0.6,fit,30,2,18,0,742
0.6,score,30,2,18,0,743
0.54,fit,27,4,19,0,744
0.54,score,27,4,19,0,745
0.6,fit,29,4,16,1,746
0.6,score,29,4,16,1,747
0.56,fit,28,2,20,0,748
0.56,score,28,2,20,0,749
0.56,fit,28,5,17,0,750
0.56,score,28,5,17,0,751
0.42,fit,21,6,23,0,752
0.42,score,21,6,23,0,753
0.5,fit,25,8,17,0,754
0.5,score,25,8,17,0,755
0.62,fit,31,2,17,0,756
0.62,score,31,2,17,0,757
0.48,fit,24,0,26,0,758
0.48,score,24,0,26,0,759
0.44,fit,21,2,26,1,760
0.44,score,21,2,26,1,761
0.52,fit,26,4,20,0,762
0.52,score,26,4,20,0,763
0.38,fit,19,8,23,0,764
0.38,score,19,8,23,0,765
0.52,fit,26,3,21,0,766
0.52,score,26,3,21,0,767
0.62,fit,31,5,14,0,768
0.62,score,31,5,14,0,769
0.54,fit,27,2,21,0,770
0.54,score,27,2,21,0,771
0.6,fit,30,3,17,0,772
0.6,score,30,3,17,0,773
0.5,fit,25,3,22,0,774
0.5,score,25,3,22,0,775
0.42,fit,21,5,24,0,776
0.42,score,21,5,24,0,777
0.42,fit,21,4,25,0,778
0.42,score,21,4,25,0,779
0.52,fit,26,6,18,0,780
0.52,score,26,6,18,0,781
0.44,fit,22,5,23,0,782
0.44,score,22,5,23,0,783
0.5,fit,25,2,23,0,784
0.5,score,25,2,23,0,785
0.6,fit,30,1,19,0,786
0.6,score,30,1,19,0,787
0.64,fit,32,2,16,0,788
0.64,score,32,2,16,0,789
0.58,fit,29,1,20,0,790
0.58,score,29,1,20,0,791
0.6,fit,29,1,19,1,792
0.6,score,29,1,19,1,793
0.44,fit,22,4,24,0,794
0.44,score,22,4,24,0,795
0.62,fit,31,4,15,0,796
0.62,score,31,4,15,0,797
0.6,fit,30,0,20,0,798
0.6,score,30,0,20,0,799
0.54,fit,27,1,22,0,800
0.54,score,27,1,22,0,801
0.6,fit,30,1,19,0,802
0.6,score,30,1,19,0,803
0.64,fit,32,2,16,0,804
0.64,score,32,2,16,0,805
0.58,fit,29,0,21,0,806
0.58,score,29,0,21,0,807
0.56,fit,28,0,22,0,808
0.56,score,28,0,22,0,809
0.54,fit,27,3,20,0,810
0.54,score,27,3,20,0,811
0.58,fit,29,4,17,0,812
0.58,score,29,4,17,0,813
0.52,fit,26,4,20,0,814
0.52,score,26,4,20,0,815
0.58,fit,29,1,20,0,816
0.58,score,29,1,20,0,817
0.56,fit,28,0,22,0,818
0.56,score,28,0,22,0,819
0.56,fit,28,1,21,0,820
0.56,score,28,1,21,0,821
0.56,fit,28,0,22,0,822
0.56,score,28,0,22,0,823
0.56,fit,28,2,20,0,824
0.56,score,28,2,20,0,825
0.58,fit,29,1,20,0,826
0.58,score,29,1,20,0,827
0.6,fit,30,0,20,0,828
0.6,score,30,0,20,0,829
0.5,fit,25,1,24,0,830
0.5,score,25,1,24,0,831
0.52,fit,26,1,23,0,832
0.52,score,26,1,23,0,833
0.36,fit,18,4,28,0,834
0.36,score,18,4,28,0,835
0.54,fit,27,0,23,0,836
0.54,score,27,0,23,0,837
0.42,fit,21,3,26,0,838
0.42,score,21,3,26,0,839
0.54,fit,27,0,23,0,840
0.54,score,27,0,23,0,841
0.48,fit,24,2,24,0,842
0.48,score,24,2,24,0,843
0.5,fit,25,2,23,0,844
0.5,score,25,2,23,0,845
0.54,fit,27,2,21,0,846
0.54,score,27,2,21,0,847
0.48,fit,24,1,25,0,848
0.48,score,24,1,25,0,849
0.5,fit,25,0,25,0,850
0.5,score,25,0,25,0,851
0.56,fit,28,1,21,0,852
0.56,score,28,1,21,0,853
0.52,fit,26,3,21,0,854
0.52,score,26,3,21,0,855
0.5,fit,25,2,23,0,856
0.5,score,25,2,23,0,857
0.52,fit,24,2,22,2,858
0.52,score,24,2,22,2,859
0.48,fit,24,2,24,0,860
0.48,score,24,2,24,0,861
0.58,fit,26,2,19,3,862
0.58,score,26,2,19,3,863
0.64,fit,30,1,17,2,864
0.64,score,30,1,17,2,865
0.52,fit,25,5,19,1,866
0.52,score,25,5,19,1,867
0.5,fit,22,4,21,3,868
0.5,score,22,4,21,3,869
0.46,fit,23,2,25,0,870
0.46,score,23,2,25,0,871
0.42,fit,20,4,25,1,872
0.42,score,20,4,25,1,873
0.54,fit,25,4,19,2,874
0.54,score,25,4,19,2,875
0.46,fit,23,4,23,0,876
0.46,score,23,4,23,0,877
0.6,fit,27,1,19,3,878
0.6,score,27,1,19,3,879
0.56,fit,26,6,16,2,880
0.56,score,26,6,16,2,881
0.46,fit,21,4,23,2,882
0.46,score,21,4,23,2,883
0.48,fit,22,5,21,2,884
0.48,score,22,5,21,2,885
0.5,fit,22,4,21,3,886
0.5,score,22,4,21,3,887
0.54,fit,22,4,19,5,888
0.54,score,22,4,19,5,889
0.54,fit,21,3,20,6,890
0.54,score,21,3,20,6,891
0.42,fit,21,5,24,0,892
0.42,score,21,5,24,0,893
0.5,fit,22,6,19,3,894
0.5,score,22,6,19,3,895
0.48,fit,21,5,21,3,896
0.48,score,21,5,21,3,897
0.58,fit,29,2,19,0,898
0.58,score,29,2,19,0,899
0.5,fit,20,6,19,5,900
0.5,score,20,6,19,5,901
0.56,fit,26,2,20,2,902
0.56,score,26,2,20,2,903
0.48,fit,19,2,24,5,904
0.48,score,19,2,24,5,905
0.5,fit,21,2,23,4,906
0.5,score,21,2,23,4,907
0.5,fit,23,4,21,2,908
0.5,score,23,4,21,2,909
0.7,score,30,5,10,5,910
0.48,fit,20,2,24,4,911
0.48,score,20,2,24,4,912
0.48,fit,19,7,19,5,913
0.48,score,19,7,19,5,914
0.5,fit,22,2,23,3,915
0.5,score,22,2,23,3,916
0.54,fit,21,2,21,6,917
0.54,score,21,2,21,6,918
0.48,fit,20,6,20,4,919
0.48,score,20,6,20,4,920
0.56,fit,23,3,19,5,921
0.56,score,23,3,19,5,922
0.44,fit,21,1,27,1,923
0.44,score,21,1,27,1,924
0.48,fit,19,7,19,5,925
0.48,score,19,7,19,5,926
0.54,fit,23,2,21,4,927
0.54,score,23,2,21,4,928
0.66,fit,31,4,13,2,929
0.66,score,31,4,13,2,930
0.62,fit,27,4,15,4,931
0.62,score,27,4,15,4,932
0.58,fit,24,8,13,5,933
0.58,score,24,8,13,5,934
0.44,fit,16,4,24,6,935
0.44,score,16,4,24,6,936
0.6,fit,21,6,14,9,937
0.6,score,21,6,14,9,938
0.52,fit,19,2,22,7,939
0.52,score,19,2,22,7,940
