specialist_score,specialist_cycle,prefit_evaluation,postfit_evaluation,cm_true_positive,cm_false_positive,cm_false_negative,cm_true_negative,gen
0,fit,,,,,,,700
0,fit,,,,,,,701
0,fit,,,,,,,702
0,fit,,,,,,,703
0,fit,,,,,,,704
0,fit,,,,,,,705
0,fit,,,,,,,706
0,fit,,,,,,,707
0,fit,,,,,,,708
0,fit,,,,,,,709
0,score,0.48333333333333334,0.48333333333333334,,,,,710
0,score,0.48333333333333334,0.48333333333333334,,,,,711
0,score,0.48333333333333334,0.48333333333333334,,,,,712
0,score,0.48333333333333334,0.48333333333333334,,,,,713
0,score,0.48333333333333334,0.48333333333333334,,,,,714
0,score,0.48333333333333334,0.48333333333333334,,,,,715
0,score,0.48333333333333334,0.48333333333333334,,,,,716
0,score,0.48333333333333334,0.48333333333333334,,,,,717
0,score,0.48333333333333334,0.48333333333333334,,,,,718
0,score,0.48333333333333334,0.48333333333333334,,,,,719
0.49,fit,0.48333333333333334,0.48333333333333334,238,79,176,7,720
0.49,fit,0.48333333333333334,0.48333333333333334,238,79,176,7,721
0.49,fit,0.48333333333333334,0.48333333333333334,238,79,176,7,722
0.49,fit,0.48333333333333334,0.48333333333333334,238,79,176,7,723
0.49,fit,0.48333333333333334,0.48333333333333334,238,79,176,7,724
0.49,fit,0.48333333333333334,0.48333333333333334,238,79,176,7,725
0.49,fit,0.48333333333333334,0.48333333333333334,238,79,176,7,726
0.49,fit,0.48333333333333334,0.48333333333333334,238,79,176,7,727
0.49,fit,0.48333333333333334,0.48333333333333334,238,79,176,7,728
0.49,fit,0.48333333333333334,0.48333333333333334,238,79,176,7,729
0.49,score,0.5,0.5,238,79,176,7,730
0.49,score,0.5,0.5,238,79,176,7,731
0.49,score,0.5,0.5,238,79,176,7,732
0.49,score,0.5,0.5,238,79,176,7,733
0.49,score,0.5,0.5,238,79,176,7,734
0.49,score,0.5,0.5,238,79,176,7,735
0.49,score,0.5,0.5,238,79,176,7,736
0.49,score,0.5,0.5,238,79,176,7,737
0.49,score,0.5,0.5,238,79,176,7,738
0.49,score,0.5,0.5,238,79,176,7,739
0.528,fit,0.5,0.5,259,66,169,6,740
0.528,fit,0.5,0.5,259,66,169,6,741
0.528,fit,0.5,0.5,259,66,169,6,742
0.528,fit,0.5,0.5,259,66,169,6,743
0.528,fit,0.5,0.5,259,66,169,6,744
0.528,fit,0.5,0.5,259,66,169,6,745
0.528,fit,0.5,0.5,259,66,169,6,746
0.528,fit,0.5,0.5,259,66,169,6,747
0.528,fit,0.5,0.5,259,66,169,6,748
0.528,fit,0.5,0.5,259,66,169,6,749
0.528,score,0.4866666666666667,0.4866666666666667,259,66,169,6,750
0.528,score,0.4866666666666667,0.4866666666666667,259,66,169,6,751
0.528,score,0.4866666666666667,0.4866666666666667,259,66,169,6,752
0.528,score,0.4866666666666667,0.4866666666666667,259,66,169,6,753
0.528,score,0.4866666666666667,0.4866666666666667,259,66,169,6,754
0.528,score,0.4866666666666667,0.4866666666666667,259,66,169,6,755
0.528,score,0.4866666666666667,0.4866666666666667,259,66,169,6,756
0.528,score,0.4866666666666667,0.4866666666666667,259,66,169,6,757
0.528,score,0.4866666666666667,0.4866666666666667,259,66,169,6,758
0.528,score,0.4866666666666667,0.4866666666666667,259,66,169,6,759
0.496,fit,0.4866666666666667,0.4866666666666667,235,68,184,13,760
0.496,fit,0.4866666666666667,0.4866666666666667,235,68,184,13,761
0.496,fit,0.4866666666666667,0.4866666666666667,235,68,184,13,762
0.496,fit,0.4866666666666667,0.4866666666666667,235,68,184,13,763
0.496,fit,0.4866666666666667,0.4866666666666667,235,68,184,13,764
0.496,fit,0.4866666666666667,0.4866666666666667,235,68,184,13,765
0.496,fit,0.4866666666666667,0.4866666666666667,235,68,184,13,766
0.496,fit,0.4866666666666667,0.4866666666666667,235,68,184,13,767
0.496,fit,0.4866666666666667,0.4866666666666667,235,68,184,13,768
0.496,fit,0.4866666666666667,0.4866666666666667,235,68,184,13,769
0.496,score,0.49666666666666665,0.49666666666666665,235,68,184,13,770
0.496,score,0.49666666666666665,0.49666666666666665,235,68,184,13,771
0.496,score,0.49666666666666665,0.49666666666666665,235,68,184,13,772
0.496,score,0.49666666666666665,0.49666666666666665,235,68,184,13,773
0.496,score,0.49666666666666665,0.49666666666666665,235,68,184,13,774
0.496,score,0.49666666666666665,0.49666666666666665,235,68,184,13,775
0.496,score,0.49666666666666665,0.49666666666666665,235,68,184,13,776
0.496,score,0.49666666666666665,0.49666666666666665,235,68,184,13,777
0.496,score,0.49666666666666665,0.49666666666666665,235,68,184,13,778
0.496,score,0.49666666666666665,0.49666666666666665,235,68,184,13,779
0.446,fit,0.49666666666666665,0.49666666666666665,217,77,201,5,780
0.446,fit,0.49666666666666665,0.49666666666666665,217,77,201,5,781
0.446,fit,0.49666666666666665,0.49666666666666665,217,77,201,5,782
0.446,fit,0.49666666666666665,0.49666666666666665,217,77,201,5,783
0.446,fit,0.49666666666666665,0.49666666666666665,217,77,201,5,784
0.446,fit,0.49666666666666665,0.49666666666666665,217,77,201,5,785
0.446,fit,0.49666666666666665,0.49666666666666665,217,77,201,5,786
0.446,fit,0.49666666666666665,0.49666666666666665,217,77,201,5,787
0.446,fit,0.49666666666666665,0.49666666666666665,217,77,201,5,788
0.446,fit,0.49666666666666665,0.49666666666666665,217,77,201,5,789
0.446,score,0.4666666666666667,0.47,217,77,201,5,790
0.446,score,0.4666666666666667,0.47,217,77,201,5,791
0.446,score,0.4666666666666667,0.47,217,77,201,5,792
0.446,score,0.4666666666666667,0.47,217,77,201,5,793
0.446,score,0.4666666666666667,0.47,217,77,201,5,794
0.446,score,0.4666666666666667,0.47,217,77,201,5,795
0.446,score,0.4666666666666667,0.47,217,77,201,5,796
0.446,score,0.4666666666666667,0.47,217,77,201,5,797
0.446,score,0.4666666666666667,0.47,217,77,201,5,798
0.446,score,0.4666666666666667,0.47,217,77,201,5,799
0.492,fit,0.4666666666666667,0.47,238,62,192,8,800
0.492,fit,0.4666666666666667,0.47,238,62,192,8,801
0.492,fit,0.4666666666666667,0.47,238,62,192,8,802
0.492,fit,0.4666666666666667,0.47,238,62,192,8,803
0.492,fit,0.4666666666666667,0.47,238,62,192,8,804
0.492,fit,0.4666666666666667,0.47,238,62,192,8,805
0.492,fit,0.4666666666666667,0.47,238,62,192,8,806
0.492,fit,0.4666666666666667,0.47,238,62,192,8,807
0.492,fit,0.4666666666666667,0.47,238,62,192,8,808
0.492,fit,0.4666666666666667,0.47,238,62,192,8,809
0.492,score,0.47,0.48,238,62,192,8,810
0.492,score,0.47,0.48,238,62,192,8,811
0.492,score,0.47,0.48,238,62,192,8,812
0.492,score,0.47,0.48,238,62,192,8,813
0.492,score,0.47,0.48,238,62,192,8,814
0.492,score,0.47,0.48,238,62,192,8,815
0.492,score,0.47,0.48,238,62,192,8,816
0.492,score,0.47,0.48,238,62,192,8,817
0.492,score,0.47,0.48,238,62,192,8,818
0.492,score,0.47,0.48,238,62,192,8,819
0.528,fit,0.47,0.48,255,49,187,9,820
0.528,fit,0.47,0.48,255,49,187,9,821
0.528,fit,0.47,0.48,255,49,187,9,822
0.528,fit,0.47,0.48,255,49,187,9,823
0.528,fit,0.47,0.48,255,49,187,9,824
0.528,fit,0.47,0.48,255,49,187,9,825
0.528,fit,0.47,0.48,255,49,187,9,826
0.528,fit,0.47,0.48,255,49,187,9,827
0.528,fit,0.47,0.48,255,49,187,9,828
0.528,fit,0.47,0.48,255,49,187,9,829
0.528,score,0.4766666666666667,0.4766666666666667,255,49,187,9,830
0.528,score,0.4766666666666667,0.4766666666666667,255,49,187,9,831
0.528,score,0.4766666666666667,0.4766666666666667,255,49,187,9,832
0.528,score,0.4766666666666667,0.4766666666666667,255,49,187,9,833
0.528,score,0.4766666666666667,0.4766666666666667,255,49,187,9,834
0.528,score,0.4766666666666667,0.4766666666666667,255,49,187,9,835
0.528,score,0.4766666666666667,0.4766666666666667,255,49,187,9,836
0.528,score,0.4766666666666667,0.4766666666666667,255,49,187,9,837
0.528,score,0.4766666666666667,0.4766666666666667,255,49,187,9,838
0.528,score,0.4766666666666667,0.4766666666666667,255,49,187,9,839
0.418,fit,0.4766666666666667,0.4766666666666667,202,49,242,7,840
0.418,fit,0.4766666666666667,0.4766666666666667,202,49,242,7,841
0.418,fit,0.4766666666666667,0.4766666666666667,202,49,242,7,842
0.418,fit,0.4766666666666667,0.4766666666666667,202,49,242,7,843
0.418,fit,0.4766666666666667,0.4766666666666667,202,49,242,7,844
0.418,fit,0.4766666666666667,0.4766666666666667,202,49,242,7,845
0.418,fit,0.4766666666666667,0.4766666666666667,202,49,242,7,846
0.418,fit,0.4766666666666667,0.4766666666666667,202,49,242,7,847
0.418,fit,0.4766666666666667,0.4766666666666667,202,49,242,7,848
0.418,fit,0.4766666666666667,0.4766666666666667,202,49,242,7,849
0.418,score,0.47,0.47,202,49,242,7,850
0.418,score,0.47,0.47,202,49,242,7,851
0.418,score,0.47,0.47,202,49,242,7,852
0.418,score,0.47,0.47,202,49,242,7,853
0.418,score,0.47,0.47,202,49,242,7,854
0.418,score,0.47,0.47,202,49,242,7,855
0.418,score,0.47,0.47,202,49,242,7,856
0.418,score,0.47,0.47,202,49,242,7,857
0.418,score,0.47,0.47,202,49,242,7,858
0.418,score,0.47,0.47,202,49,242,7,859
0.458,fit,0.47,0.47,224,53,218,5,860
0.458,fit,0.47,0.47,224,53,218,5,861
0.458,fit,0.47,0.47,224,53,218,5,862
0.458,fit,0.47,0.47,224,53,218,5,863
0.458,fit,0.47,0.47,224,53,218,5,864
0.458,fit,0.47,0.47,224,53,218,5,865
0.458,fit,0.47,0.47,224,53,218,5,866
0.458,fit,0.47,0.47,224,53,218,5,867
0.458,fit,0.47,0.47,224,53,218,5,868
0.458,fit,0.47,0.47,224,53,218,5,869
0.458,score,0.4533333333333333,0.45666666666666667,224,53,218,5,870
0.458,score,0.4533333333333333,0.45666666666666667,224,53,218,5,871
0.458,score,0.4533333333333333,0.45666666666666667,224,53,218,5,872
0.458,score,0.4533333333333333,0.45666666666666667,224,53,218,5,873
0.458,score,0.4533333333333333,0.45666666666666667,224,53,218,5,874
0.458,score,0.4533333333333333,0.45666666666666667,224,53,218,5,875
0.458,score,0.4533333333333333,0.45666666666666667,224,53,218,5,876
0.458,score,0.4533333333333333,0.45666666666666667,224,53,218,5,877
0.458,score,0.4533333333333333,0.45666666666666667,224,53,218,5,878
0.458,score,0.4533333333333333,0.45666666666666667,224,53,218,5,879
0.432,fit,0.4533333333333333,0.45666666666666667,212,64,220,4,880
0.432,fit,0.4533333333333333,0.45666666666666667,212,64,220,4,881
0.432,fit,0.4533333333333333,0.45666666666666667,212,64,220,4,882
0.432,fit,0.4533333333333333,0.45666666666666667,212,64,220,4,883
0.432,fit,0.4533333333333333,0.45666666666666667,212,64,220,4,884
0.432,fit,0.4533333333333333,0.45666666666666667,212,64,220,4,885
0.432,fit,0.4533333333333333,0.45666666666666667,212,64,220,4,886
0.432,fit,0.4533333333333333,0.45666666666666667,212,64,220,4,887
0.432,fit,0.4533333333333333,0.45666666666666667,212,64,220,4,888
0.432,fit,0.4533333333333333,0.45666666666666667,212,64,220,4,889
0.432,score,0.44666666666666666,0.44666666666666666,212,64,220,4,890
0.432,score,0.44666666666666666,0.44666666666666666,212,64,220,4,891
0.432,score,0.44666666666666666,0.44666666666666666,212,64,220,4,892
0.432,score,0.44666666666666666,0.44666666666666666,212,64,220,4,893
0.432,score,0.44666666666666666,0.44666666666666666,212,64,220,4,894
0.432,score,0.44666666666666666,0.44666666666666666,212,64,220,4,895
0.432,score,0.44666666666666666,0.44666666666666666,212,64,220,4,896
0.432,score,0.44666666666666666,0.44666666666666666,212,64,220,4,897
0.432,score,0.44666666666666666,0.44666666666666666,212,64,220,4,898
0.432,score,0.44666666666666666,0.44666666666666666,212,64,220,4,899
0.44,fit,0.44666666666666666,0.44666666666666666,216,63,217,4,900
0.44,fit,0.44666666666666666,0.44666666666666666,216,63,217,4,901
0.44,fit,0.44666666666666666,0.44666666666666666,216,63,217,4,902
0.44,fit,0.44666666666666666,0.44666666666666666,216,63,217,4,903
0.44,fit,0.44666666666666666,0.44666666666666666,216,63,217,4,904
0.44,fit,0.44666666666666666,0.44666666666666666,216,63,217,4,905
0.44,fit,0.44666666666666666,0.44666666666666666,216,63,217,4,906
0.44,fit,0.44666666666666666,0.44666666666666666,216,63,217,4,907
0.44,fit,0.44666666666666666,0.44666666666666666,216,63,217,4,908
0.44,fit,0.44666666666666666,0.44666666666666666,216,63,217,4,909
0.44,score,0.44,0.44,216,63,217,4,910
0.44,score,0.44,0.44,216,63,217,4,911
0.44,score,0.44,0.44,216,63,217,4,912
0.44,score,0.44,0.44,216,63,217,4,913
0.44,score,0.44,0.44,216,63,217,4,914
0.44,score,0.44,0.44,216,63,217,4,915
0.44,score,0.44,0.44,216,63,217,4,916
0.44,score,0.44,0.44,216,63,217,4,917
0.44,score,0.44,0.44,216,63,217,4,918
0.44,score,0.44,0.44,216,63,217,4,919
0.434,fit,0.44,0.44,208,47,236,9,920
0.434,fit,0.44,0.44,208,47,236,9,921
0.434,fit,0.44,0.44,208,47,236,9,922
0.434,fit,0.44,0.44,208,47,236,9,923
0.434,fit,0.44,0.44,208,47,236,9,924
0.434,fit,0.44,0.44,208,47,236,9,925
0.434,fit,0.44,0.44,208,47,236,9,926
0.434,fit,0.44,0.44,208,47,236,9,927
0.434,fit,0.44,0.44,208,47,236,9,928
0.434,fit,0.44,0.44,208,47,236,9,929
0.434,score,0.4266666666666667,0.43666666666666665,208,47,236,9,930
0.434,score,0.4266666666666667,0.43666666666666665,208,47,236,9,931
0.434,score,0.4266666666666667,0.43666666666666665,208,47,236,9,932
0.434,score,0.4266666666666667,0.43666666666666665,208,47,236,9,933
0.434,score,0.4266666666666667,0.43666666666666665,208,47,236,9,934
0.434,score,0.4266666666666667,0.43666666666666665,208,47,236,9,935
0.434,score,0.4266666666666667,0.43666666666666665,208,47,236,9,936
0.434,score,0.4266666666666667,0.43666666666666665,208,47,236,9,937
0.434,score,0.4266666666666667,0.43666666666666665,208,47,236,9,938
0.434,score,0.4266666666666667,0.43666666666666665,208,47,236,9,939
0.402,fit,0.4266666666666667,0.43666666666666665,190,57,242,11,940
0.402,fit,0.4266666666666667,0.43666666666666665,190,57,242,11,941
0.402,fit,0.4266666666666667,0.43666666666666665,190,57,242,11,942
0.402,fit,0.4266666666666667,0.43666666666666665,190,57,242,11,943
0.402,fit,0.4266666666666667,0.43666666666666665,190,57,242,11,944
0.402,fit,0.4266666666666667,0.43666666666666665,190,57,242,11,945
0.402,fit,0.4266666666666667,0.43666666666666665,190,57,242,11,946
0.402,fit,0.4266666666666667,0.43666666666666665,190,57,242,11,947
0.402,fit,0.4266666666666667,0.43666666666666665,190,57,242,11,948
0.402,fit,0.4266666666666667,0.43666666666666665,190,57,242,11,949
0.402,score,0.41,0.41333333333333333,190,57,242,11,950
0.402,score,0.41,0.41333333333333333,190,57,242,11,951
0.402,score,0.41,0.41333333333333333,190,57,242,11,952
0.402,score,0.41,0.41333333333333333,190,57,242,11,953
0.402,score,0.41,0.41333333333333333,190,57,242,11,954
0.402,score,0.41,0.41333333333333333,190,57,242,11,955
0.402,score,0.41,0.41333333333333333,190,57,242,11,956
0.402,score,0.41,0.41333333333333333,190,57,242,11,957
0.402,score,0.41,0.41333333333333333,190,57,242,11,958
0.402,score,0.41,0.41333333333333333,190,57,242,11,959
0.41,fit,0.41,0.41333333333333333,175,68,227,30,960
0.41,fit,0.41,0.41333333333333333,175,68,227,30,961
0.41,fit,0.41,0.41333333333333333,175,68,227,30,962
0.41,fit,0.41,0.41333333333333333,175,68,227,30,963
0.41,fit,0.41,0.41333333333333333,175,68,227,30,964
0.41,fit,0.41,0.41333333333333333,175,68,227,30,965
