specialist_score,specialist_cycle,prefit_evaluation,postfit_evaluation,cm_true_positive,cm_false_positive,cm_false_negative,cm_true_negative,gen
0,fit,,,,,,,700
0,fit,,,,,,,701
0,fit,,,,,,,702
0,fit,,,,,,,703
0,fit,,,,,,,704
0,fit,,,,,,,705
0,fit,,,,,,,706
0,fit,,,,,,,707
0,fit,,,,,,,708
0,fit,,,,,,,709
0,score,0.37,0.37,,,,,710
0,score,0.37,0.37,,,,,711
0,score,0.37,0.37,,,,,712
0,score,0.37,0.37,,,,,713
0,score,0.37,0.37,,,,,714
0,score,0.37,0.37,,,,,715
0,score,0.37,0.37,,,,,716
0,score,0.37,0.37,,,,,717
0,score,0.37,0.37,,,,,718
0,score,0.37,0.37,,,,,719
0.352,fit,0.37,0.37,143,71,253,33,720
0.352,fit,0.37,0.37,143,71,253,33,721
0.352,fit,0.37,0.37,143,71,253,33,722
0.352,fit,0.37,0.37,143,71,253,33,723
0.352,fit,0.37,0.37,143,71,253,33,724
0.352,fit,0.37,0.37,143,71,253,33,725
0.352,fit,0.37,0.37,143,71,253,33,726
0.352,fit,0.37,0.37,143,71,253,33,727
0.352,fit,0.37,0.37,143,71,253,33,728
0.352,fit,0.37,0.37,143,71,253,33,729
0.352,score,0.3433333333333333,0.36666666666666664,143,71,253,33,730
0.352,score,0.3433333333333333,0.36666666666666664,143,71,253,33,731
0.352,score,0.3433333333333333,0.36666666666666664,143,71,253,33,732
0.352,score,0.3433333333333333,0.36666666666666664,143,71,253,33,733
0.352,score,0.3433333333333333,0.36666666666666664,143,71,253,33,734
0.352,score,0.3433333333333333,0.36666666666666664,143,71,253,33,735
0.352,score,0.3433333333333333,0.36666666666666664,143,71,253,33,736
0.352,score,0.3433333333333333,0.36666666666666664,143,71,253,33,737
0.352,score,0.3433333333333333,0.36666666666666664,143,71,253,33,738
0.352,score,0.3433333333333333,0.36666666666666664,143,71,253,33,739
0.348,fit,0.3433333333333333,0.36666666666666664,127,68,258,47,740
0.348,fit,0.3433333333333333,0.36666666666666664,127,68,258,47,741
0.348,fit,0.3433333333333333,0.36666666666666664,127,68,258,47,742
0.348,fit,0.3433333333333333,0.36666666666666664,127,68,258,47,743
0.348,fit,0.3433333333333333,0.36666666666666664,127,68,258,47,744
0.348,fit,0.3433333333333333,0.36666666666666664,127,68,258,47,745
0.348,fit,0.3433333333333333,0.36666666666666664,127,68,258,47,746
0.348,fit,0.3433333333333333,0.36666666666666664,127,68,258,47,747
0.348,fit,0.3433333333333333,0.36666666666666664,127,68,258,47,748
0.348,fit,0.3433333333333333,0.36666666666666664,127,68,258,47,749
0.348,score,0.36,0.38,127,68,258,47,750
0.348,score,0.36,0.38,127,68,258,47,751
0.348,score,0.36,0.38,127,68,258,47,752
0.348,score,0.36,0.38,127,68,258,47,753
0.348,score,0.36,0.38,127,68,258,47,754
0.348,score,0.36,0.38,127,68,258,47,755
0.348,score,0.36,0.38,127,68,258,47,756
0.348,score,0.36,0.38,127,68,258,47,757
0.348,score,0.36,0.38,127,68,258,47,758
0.348,score,0.36,0.38,127,68,258,47,759
0.404,fit,0.36,0.38,134,73,226,67,760
0.404,fit,0.36,0.38,134,73,226,67,761
0.404,fit,0.36,0.38,134,73,226,67,762
0.404,fit,0.36,0.38,134,73,226,67,763
0.404,fit,0.36,0.38,134,73,226,67,764
0.404,fit,0.36,0.38,134,73,226,67,765
0.404,fit,0.36,0.38,134,73,226,67,766
0.404,fit,0.36,0.38,134,73,226,67,767
0.404,fit,0.36,0.38,134,73,226,67,768
0.404,fit,0.36,0.38,134,73,226,67,769
0.404,score,0.38666666666666666,0.44666666666666666,134,73,226,67,770
0.404,score,0.38666666666666666,0.44666666666666666,134,73,226,67,771
0.404,score,0.38666666666666666,0.44666666666666666,134,73,226,67,772
0.404,score,0.38666666666666666,0.44666666666666666,134,73,226,67,773
0.404,score,0.38666666666666666,0.44666666666666666,134,73,226,67,774
0.404,score,0.38666666666666666,0.44666666666666666,134,73,226,67,775
0.404,score,0.38666666666666666,0.44666666666666666,134,73,226,67,776
0.404,score,0.38666666666666666,0.44666666666666666,134,73,226,67,777
0.404,score,0.38666666666666666,0.44666666666666666,134,73,226,67,778
0.404,score,0.38666666666666666,0.44666666666666666,134,73,226,67,779
0.406,fit,0.38666666666666666,0.44666666666666666,106,82,215,97,780
0.406,fit,0.38666666666666666,0.44666666666666666,106,82,215,97,781
0.406,fit,0.38666666666666666,0.44666666666666666,106,82,215,97,782
0.406,fit,0.38666666666666666,0.44666666666666666,106,82,215,97,783
0.406,fit,0.38666666666666666,0.44666666666666666,106,82,215,97,784
0.406,fit,0.38666666666666666,0.44666666666666666,106,82,215,97,785
0.406,fit,0.38666666666666666,0.44666666666666666,106,82,215,97,786
0.406,fit,0.38666666666666666,0.44666666666666666,106,82,215,97,787
0.406,fit,0.38666666666666666,0.44666666666666666,106,82,215,97,788
0.406,fit,0.38666666666666666,0.44666666666666666,106,82,215,97,789
0.406,score,0.4533333333333333,0.54,106,82,215,97,790
0.406,score,0.4533333333333333,0.54,106,82,215,97,791
0.406,score,0.4533333333333333,0.54,106,82,215,97,792
0.406,score,0.4533333333333333,0.54,106,82,215,97,793
0.406,score,0.4533333333333333,0.54,106,82,215,97,794
0.406,score,0.4533333333333333,0.54,106,82,215,97,795
0.406,score,0.4533333333333333,0.54,106,82,215,97,796
0.406,score,0.4533333333333333,0.54,106,82,215,97,797
0.406,score,0.4533333333333333,0.54,106,82,215,97,798
0.406,score,0.4533333333333333,0.54,106,82,215,97,799
0.49,fit,0.4533333333333333,0.54,111,95,160,134,800
0.49,fit,0.4533333333333333,0.54,111,95,160,134,801
0.49,fit,0.4533333333333333,0.54,111,95,160,134,802
0.49,fit,0.4533333333333333,0.54,111,95,160,134,803
0.49,fit,0.4533333333333333,0.54,111,95,160,134,804
0.49,fit,0.4533333333333333,0.54,111,95,160,134,805
0.49,fit,0.4533333333333333,0.54,111,95,160,134,806
0.49,fit,0.4533333333333333,0.54,111,95,160,134,807
0.49,fit,0.4533333333333333,0.54,111,95,160,134,808
0.49,fit,0.4533333333333333,0.54,111,95,160,134,809
0.49,score,0.5533333333333333,0.6,111,95,160,134,810
0.49,score,0.5533333333333333,0.6,111,95,160,134,811
0.49,score,0.5533333333333333,0.6,111,95,160,134,812
0.49,score,0.5533333333333333,0.6,111,95,160,134,813
0.49,score,0.5533333333333333,0.6,111,95,160,134,814
0.49,score,0.5533333333333333,0.6,111,95,160,134,815
0.49,score,0.5533333333333333,0.6,111,95,160,134,816
0.49,score,0.5533333333333333,0.6,111,95,160,134,817
0.49,score,0.5533333333333333,0.6,111,95,160,134,818
0.49,score,0.5533333333333333,0.6,111,95,160,134,819
0.58,fit,0.5533333333333333,0.6,102,85,125,188,820
0.58,fit,0.5533333333333333,0.6,102,85,125,188,821
0.58,fit,0.5533333333333333,0.6,102,85,125,188,822
0.58,fit,0.5533333333333333,0.6,102,85,125,188,823
0.58,fit,0.5533333333333333,0.6,102,85,125,188,824
0.58,fit,0.5533333333333333,0.6,102,85,125,188,825
0.58,fit,0.5533333333333333,0.6,102,85,125,188,826
0.58,fit,0.5533333333333333,0.6,102,85,125,188,827
0.58,fit,0.5533333333333333,0.6,102,85,125,188,828
0.58,fit,0.5533333333333333,0.6,102,85,125,188,829
0.58,score,0.5833333333333334,0.6433333333333333,102,85,125,188,830
0.58,score,0.5833333333333334,0.6433333333333333,102,85,125,188,831
0.58,score,0.5833333333333334,0.6433333333333333,102,85,125,188,832
0.58,score,0.5833333333333334,0.6433333333333333,102,85,125,188,833
0.58,score,0.5833333333333334,0.6433333333333333,102,85,125,188,834
0.58,score,0.5833333333333334,0.6433333333333333,102,85,125,188,835
0.58,score,0.5833333333333334,0.6433333333333333,102,85,125,188,836
0.58,score,0.5833333333333334,0.6433333333333333,102,85,125,188,837
0.58,score,0.5833333333333334,0.6433333333333333,102,85,125,188,838
0.58,score,0.5833333333333334,0.6433333333333333,102,85,125,188,839
0.612,fit,0.5833333333333334,0.6433333333333333,92,93,101,214,840
0.612,fit,0.5833333333333334,0.6433333333333333,92,93,101,214,841
0.612,fit,0.5833333333333334,0.6433333333333333,92,93,101,214,842
0.612,fit,0.5833333333333334,0.6433333333333333,92,93,101,214,843
0.612,fit,0.5833333333333334,0.6433333333333333,92,93,101,214,844
0.612,fit,0.5833333333333334,0.6433333333333333,92,93,101,214,845
0.612,fit,0.5833333333333334,0.6433333333333333,92,93,101,214,846
0.612,fit,0.5833333333333334,0.6433333333333333,92,93,101,214,847
0.612,fit,0.5833333333333334,0.6433333333333333,92,93,101,214,848
0.612,fit,0.5833333333333334,0.6433333333333333,92,93,101,214,849
0.612,score,0.65,0.7,92,93,101,214,850
0.612,score,0.65,0.7,92,93,101,214,851
0.612,score,0.65,0.7,92,93,101,214,852
0.612,score,0.65,0.7,92,93,101,214,853
0.612,score,0.65,0.7,92,93,101,214,854
0.612,score,0.65,0.7,92,93,101,214,855
0.612,score,0.65,0.7,92,93,101,214,856
0.612,score,0.65,0.7,92,93,101,214,857
0.612,score,0.65,0.7,92,93,101,214,858
0.612,score,0.65,0.7,92,93,101,214,859
0.624,fit,0.65,0.7,70,121,67,242,860
0.624,fit,0.65,0.7,70,121,67,242,861
0.624,fit,0.65,0.7,70,121,67,242,862
0.624,fit,0.65,0.7,70,121,67,242,863
0.624,fit,0.65,0.7,70,121,67,242,864
0.624,fit,0.65,0.7,70,121,67,242,865
0.624,fit,0.65,0.7,70,121,67,242,866
0.624,fit,0.65,0.7,70,121,67,242,867
0.624,fit,0.65,0.7,70,121,67,242,868
0.624,fit,0.65,0.7,70,121,67,242,869
0.624,score,0.7166666666666667,0.72,70,121,67,242,870
0.624,score,0.7166666666666667,0.72,70,121,67,242,871
0.624,score,0.7166666666666667,0.72,70,121,67,242,872
0.624,score,0.7166666666666667,0.72,70,121,67,242,873
0.624,score,0.7166666666666667,0.72,70,121,67,242,874
0.624,score,0.7166666666666667,0.72,70,121,67,242,875
0.624,score,0.7166666666666667,0.72,70,121,67,242,876
0.624,score,0.7166666666666667,0.72,70,121,67,242,877
0.624,score,0.7166666666666667,0.72,70,121,67,242,878
0.624,score,0.7166666666666667,0.72,70,121,67,242,879
0.71,score,0.7166666666666667,0.72,64,98,47,291,880
0.722,score,0.7166666666666667,0.72,66,94,45,295,881
0.726,score,0.7166666666666667,0.72,64,94,43,299,882
0.728,score,0.7166666666666667,0.72,67,96,40,297,883
0.726,score,0.7166666666666667,0.72,68,96,41,295,884
0.73,score,0.7166666666666667,0.72,66,93,42,299,885
0.738,score,0.7166666666666667,0.72,69,88,43,300,886
0.728,score,0.7166666666666667,0.72,66,93,43,298,887
0.738,score,0.7166666666666667,0.72,71,89,42,298,888
0.742,score,0.7166666666666667,0.72,67,91,38,304,889
0.74,score,0.7166666666666667,0.72,64,93,37,306,890
0.726,score,0.7166666666666667,0.72,62,98,39,301,891
0.734,score,0.7166666666666667,0.72,64,94,39,303,892
0.714,score,0.7166666666666667,0.72,59,101,42,298,893
0.712,score,0.7166666666666667,0.72,58,104,40,298,894
0.704,score,0.7166666666666667,0.72,58,107,41,294,895
0.69,fit,0.7166666666666667,0.72,57,111,44,288,896
0.69,fit,0.7166666666666667,0.72,57,111,44,288,897
0.69,fit,0.7166666666666667,0.72,57,111,44,288,898
0.69,fit,0.7166666666666667,0.72,57,111,44,288,899
0.69,fit,0.7166666666666667,0.72,57,111,44,288,900
0.69,fit,0.7166666666666667,0.72,57,111,44,288,901
0.69,fit,0.7166666666666667,0.72,57,111,44,288,902
0.69,fit,0.7166666666666667,0.72,57,111,44,288,903
0.69,fit,0.7166666666666667,0.72,57,111,44,288,904
0.69,fit,0.7166666666666667,0.72,57,111,44,288,905
0.69,score,0.7166666666666667,0.7266666666666667,57,111,44,288,906
0.69,score,0.7166666666666667,0.7266666666666667,57,111,44,288,907
0.69,score,0.7166666666666667,0.7266666666666667,57,111,44,288,908
0.69,score,0.7166666666666667,0.7266666666666667,57,111,44,288,909
0.69,score,0.7166666666666667,0.7266666666666667,57,111,44,288,910
0.69,score,0.7166666666666667,0.7266666666666667,57,111,44,288,911
0.69,score,0.7166666666666667,0.7266666666666667,57,111,44,288,912
0.69,score,0.7166666666666667,0.7266666666666667,57,111,44,288,913
0.69,score,0.7166666666666667,0.7266666666666667,57,111,44,288,914
0.69,score,0.7166666666666667,0.7266666666666667,57,111,44,288,915
0.718,score,0.7166666666666667,0.7266666666666667,64,111,30,295,916
0.706,score,0.7166666666666667,0.7266666666666667,58,117,30,295,917
0.708,score,0.7166666666666667,0.7266666666666667,55,114,32,299,918
0.704,score,0.7166666666666667,0.7266666666666667,47,117,31,305,919
0.682,fit,0.7166666666666667,0.7266666666666667,49,124,35,292,920
0.682,fit,0.7166666666666667,0.7266666666666667,49,124,35,292,921
0.682,fit,0.7166666666666667,0.7266666666666667,49,124,35,292,922
0.682,fit,0.7166666666666667,0.7266666666666667,49,124,35,292,923
0.682,fit,0.7166666666666667,0.7266666666666667,49,124,35,292,924
0.682,fit,0.7166666666666667,0.7266666666666667,49,124,35,292,925
0.682,fit,0.7166666666666667,0.7266666666666667,49,124,35,292,926
0.682,fit,0.7166666666666667,0.7266666666666667,49,124,35,292,927
0.682,fit,0.7166666666666667,0.7266666666666667,49,124,35,292,928
0.682,fit,0.7166666666666667,0.7266666666666667,49,124,35,292,929
0.682,score,0.7466666666666667,0.7533333333333333,49,124,35,292,930
0.682,score,0.7466666666666667,0.7533333333333333,49,124,35,292,931
0.682,score,0.7466666666666667,0.7533333333333333,49,124,35,292,932
0.682,score,0.7466666666666667,0.7533333333333333,49,124,35,292,933
0.682,score,0.7466666666666667,0.7533333333333333,49,124,35,292,934
0.682,score,0.7466666666666667,0.7533333333333333,49,124,35,292,935
0.682,score,0.7466666666666667,0.7533333333333333,49,124,35,292,936
0.682,score,0.7466666666666667,0.7533333333333333,49,124,35,292,937
0.682,score,0.7466666666666667,0.7533333333333333,49,124,35,292,938
0.682,score,0.7466666666666667,0.7533333333333333,49,124,35,292,939
0.73,score,0.7466666666666667,0.7533333333333333,44,117,18,321,940
0.738,score,0.7466666666666667,0.7533333333333333,43,118,13,326,941
0.73,score,0.7466666666666667,0.7533333333333333,39,123,12,326,942
0.738,score,0.7466666666666667,0.7533333333333333,41,119,12,328,943
0.736,score,0.7466666666666667,0.7533333333333333,44,121,11,324,944
0.73,score,0.7466666666666667,0.7533333333333333,42,121,14,323,945
0.722,score,0.7466666666666667,0.7533333333333333,45,124,15,316,946
0.722,score,0.7466666666666667,0.7533333333333333,42,124,15,319,947
0.698,fit,0.7466666666666667,0.7533333333333333,47,134,17,302,948
0.698,fit,0.7466666666666667,0.7533333333333333,47,134,17,302,949
0.698,fit,0.7466666666666667,0.7533333333333333,47,134,17,302,950
0.698,fit,0.7466666666666667,0.7533333333333333,47,134,17,302,951
0.698,fit,0.7466666666666667,0.7533333333333333,47,134,17,302,952
0.698,fit,0.7466666666666667,0.7533333333333333,47,134,17,302,953
0.698,fit,0.7466666666666667,0.7533333333333333,47,134,17,302,954
0.698,fit,0.7466666666666667,0.7533333333333333,47,134,17,302,955
0.698,fit,0.7466666666666667,0.7533333333333333,47,134,17,302,956
0.698,fit,0.7466666666666667,0.7533333333333333,47,134,17,302,957
0.698,score,0.7166666666666667,0.7066666666666667,47,134,17,302,958
0.698,score,0.7166666666666667,0.7066666666666667,47,134,17,302,959
0.698,score,0.7166666666666667,0.7066666666666667,47,134,17,302,960
0.698,score,0.7166666666666667,0.7066666666666667,47,134,17,302,961
0.698,score,0.7166666666666667,0.7066666666666667,47,134,17,302,962
0.698,score,0.7166666666666667,0.7066666666666667,47,134,17,302,963
0.698,score,0.7166666666666667,0.7066666666666667,47,134,17,302,964
0.698,score,0.7166666666666667,0.7066666666666667,47,134,17,302,965
0.698,score,0.7166666666666667,0.7066666666666667,47,134,17,302,966
