specialist_score,specialist_cycle,prefit_evaluation,postfit_evaluation,cm_true_positive,cm_false_positive,cm_false_negative,cm_true_negative,gen
0,fit,,,,,,,700
0,fit,,,,,,,701
0,fit,,,,,,,702
0,fit,,,,,,,703
0,fit,,,,,,,704
0,fit,,,,,,,705
0,fit,,,,,,,706
0,fit,,,,,,,707
0,fit,,,,,,,708
0,fit,,,,,,,709
0,fit,,,,,,,710
0,fit,,,,,,,711
0,fit,,,,,,,712
0,fit,,,,,,,713
0,fit,,,,,,,714
0,fit,,,,,,,715
0,fit,,,,,,,716
0,fit,,,,,,,717
0,fit,,,,,,,718
0,fit,,,,,,,719
0,score,0.3466666666666667,0.35333333333333333,,,,,720
0,score,0.3466666666666667,0.35333333333333333,,,,,721
0,score,0.3466666666666667,0.35333333333333333,,,,,722
0,score,0.3466666666666667,0.35333333333333333,,,,,723
0,score,0.3466666666666667,0.35333333333333333,,,,,724
0,score,0.3466666666666667,0.35333333333333333,,,,,725
0,score,0.3466666666666667,0.35333333333333333,,,,,726
0,score,0.3466666666666667,0.35333333333333333,,,,,727
0,score,0.3466666666666667,0.35333333333333333,,,,,728
0,score,0.3466666666666667,0.35333333333333333,,,,,729
0,score,0.3466666666666667,0.35333333333333333,,,,,730
0,score,0.3466666666666667,0.35333333333333333,,,,,731
0,score,0.3466666666666667,0.35333333333333333,,,,,732
0,score,0.3466666666666667,0.35333333333333333,,,,,733
0,score,0.3466666666666667,0.35333333333333333,,,,,734
0,score,0.3466666666666667,0.35333333333333333,,,,,735
0,score,0.3466666666666667,0.35333333333333333,,,,,736
0,score,0.3466666666666667,0.35333333333333333,,,,,737
0,score,0.3466666666666667,0.35333333333333333,,,,,738
0,score,0.3466666666666667,0.35333333333333333,,,,,739
0.338,fit,0.3466666666666667,0.35333333333333333,257,148,515,80,740
0.338,fit,0.3466666666666667,0.35333333333333333,257,148,515,80,741
0.338,fit,0.3466666666666667,0.35333333333333333,257,148,515,80,742
0.338,fit,0.3466666666666667,0.35333333333333333,257,148,515,80,743
0.338,fit,0.3466666666666667,0.35333333333333333,257,148,515,80,744
0.338,fit,0.3466666666666667,0.35333333333333333,257,148,515,80,745
0.338,fit,0.3466666666666667,0.35333333333333333,257,148,515,80,746
0.338,fit,0.3466666666666667,0.35333333333333333,257,148,515,80,747
0.338,fit,0.3466666666666667,0.35333333333333333,257,148,515,80,748
0.338,fit,0.3466666666666667,0.35333333333333333,257,148,515,80,749
0.338,fit,0.3466666666666667,0.35333333333333333,257,148,515,80,750
0.338,fit,0.3466666666666667,0.35333333333333333,257,148,515,80,751
0.338,fit,0.3466666666666667,0.35333333333333333,257,148,515,80,752
0.338,fit,0.3466666666666667,0.35333333333333333,257,148,515,80,753
0.338,fit,0.3466666666666667,0.35333333333333333,257,148,515,80,754
0.338,fit,0.3466666666666667,0.35333333333333333,257,148,515,80,755
0.338,fit,0.3466666666666667,0.35333333333333333,257,148,515,80,756
0.338,fit,0.3466666666666667,0.35333333333333333,257,148,515,80,757
0.338,fit,0.3466666666666667,0.35333333333333333,257,148,515,80,758
0.338,fit,0.3466666666666667,0.35333333333333333,257,148,515,80,759
0.338,score,0.35,0.37333333333333335,257,148,515,80,760
0.338,score,0.35,0.37333333333333335,257,148,515,80,761
0.338,score,0.35,0.37333333333333335,257,148,515,80,762
0.338,score,0.35,0.37333333333333335,257,148,515,80,763
0.338,score,0.35,0.37333333333333335,257,148,515,80,764
0.338,score,0.35,0.37333333333333335,257,148,515,80,765
0.338,score,0.35,0.37333333333333335,257,148,515,80,766
0.338,score,0.35,0.37333333333333335,257,148,515,80,767
0.338,score,0.35,0.37333333333333335,257,148,515,80,768
0.338,score,0.35,0.37333333333333335,257,148,515,80,769
0.338,score,0.35,0.37333333333333335,257,148,515,80,770
0.338,score,0.35,0.37333333333333335,257,148,515,80,771
0.338,score,0.35,0.37333333333333335,257,148,515,80,772
0.338,score,0.35,0.37333333333333335,257,148,515,80,773
0.338,score,0.35,0.37333333333333335,257,148,515,80,774
0.338,score,0.35,0.37333333333333335,257,148,515,80,775
0.338,score,0.35,0.37333333333333335,257,148,515,80,776
0.338,score,0.35,0.37333333333333335,257,148,515,80,777
0.338,score,0.35,0.37333333333333335,257,148,515,80,778
0.338,score,0.35,0.37333333333333335,257,148,515,80,779
0.326,fit,0.35,0.37333333333333335,207,179,495,119,780
0.326,fit,0.35,0.37333333333333335,207,179,495,119,781
0.326,fit,0.35,0.37333333333333335,207,179,495,119,782
0.326,fit,0.35,0.37333333333333335,207,179,495,119,783
0.326,fit,0.35,0.37333333333333335,207,179,495,119,784
0.326,fit,0.35,0.37333333333333335,207,179,495,119,785
0.326,fit,0.35,0.37333333333333335,207,179,495,119,786
0.326,fit,0.35,0.37333333333333335,207,179,495,119,787
0.326,fit,0.35,0.37333333333333335,207,179,495,119,788
0.326,fit,0.35,0.37333333333333335,207,179,495,119,789
0.326,fit,0.35,0.37333333333333335,207,179,495,119,790
0.326,fit,0.35,0.37333333333333335,207,179,495,119,791
0.326,fit,0.35,0.37333333333333335,207,179,495,119,792
0.326,fit,0.35,0.37333333333333335,207,179,495,119,793
0.326,fit,0.35,0.37333333333333335,207,179,495,119,794
0.326,fit,0.35,0.37333333333333335,207,179,495,119,795
0.326,fit,0.35,0.37333333333333335,207,179,495,119,796
0.326,fit,0.35,0.37333333333333335,207,179,495,119,797
0.326,fit,0.35,0.37333333333333335,207,179,495,119,798
0.326,fit,0.35,0.37333333333333335,207,179,495,119,799
0.326,score,0.36,0.4866666666666667,207,179,495,119,800
0.326,score,0.36,0.4866666666666667,207,179,495,119,801
0.326,score,0.36,0.4866666666666667,207,179,495,119,802
0.326,score,0.36,0.4866666666666667,207,179,495,119,803
0.326,score,0.36,0.4866666666666667,207,179,495,119,804
0.326,score,0.36,0.4866666666666667,207,179,495,119,805
0.326,score,0.36,0.4866666666666667,207,179,495,119,806
0.326,score,0.36,0.4866666666666667,207,179,495,119,807
0.326,score,0.36,0.4866666666666667,207,179,495,119,808
0.326,score,0.36,0.4866666666666667,207,179,495,119,809
0.326,score,0.36,0.4866666666666667,207,179,495,119,810
0.326,score,0.36,0.4866666666666667,207,179,495,119,811
0.326,score,0.36,0.4866666666666667,207,179,495,119,812
0.326,score,0.36,0.4866666666666667,207,179,495,119,813
0.326,score,0.36,0.4866666666666667,207,179,495,119,814
0.326,score,0.36,0.4866666666666667,207,179,495,119,815
0.326,score,0.36,0.4866666666666667,207,179,495,119,816
0.326,score,0.36,0.4866666666666667,207,179,495,119,817
0.326,score,0.36,0.4866666666666667,207,179,495,119,818
0.326,score,0.36,0.4866666666666667,207,179,495,119,819
0.447,fit,0.36,0.4866666666666667,183,172,381,264,820
0.447,fit,0.36,0.4866666666666667,183,172,381,264,821
0.447,fit,0.36,0.4866666666666667,183,172,381,264,822
0.447,fit,0.36,0.4866666666666667,183,172,381,264,823
0.447,fit,0.36,0.4866666666666667,183,172,381,264,824
0.447,fit,0.36,0.4866666666666667,183,172,381,264,825
0.447,fit,0.36,0.4866666666666667,183,172,381,264,826
0.447,fit,0.36,0.4866666666666667,183,172,381,264,827
0.447,fit,0.36,0.4866666666666667,183,172,381,264,828
0.447,fit,0.36,0.4866666666666667,183,172,381,264,829
0.447,fit,0.36,0.4866666666666667,183,172,381,264,830
0.447,fit,0.36,0.4866666666666667,183,172,381,264,831
0.447,fit,0.36,0.4866666666666667,183,172,381,264,832
0.447,fit,0.36,0.4866666666666667,183,172,381,264,833
0.447,fit,0.36,0.4866666666666667,183,172,381,264,834
0.447,fit,0.36,0.4866666666666667,183,172,381,264,835
0.447,fit,0.36,0.4866666666666667,183,172,381,264,836
0.447,fit,0.36,0.4866666666666667,183,172,381,264,837
0.447,fit,0.36,0.4866666666666667,183,172,381,264,838
0.447,fit,0.36,0.4866666666666667,183,172,381,264,839
0.447,score,0.5,0.6266666666666667,183,172,381,264,840
0.447,score,0.5,0.6266666666666667,183,172,381,264,841
0.447,score,0.5,0.6266666666666667,183,172,381,264,842
0.447,score,0.5,0.6266666666666667,183,172,381,264,843
0.447,score,0.5,0.6266666666666667,183,172,381,264,844
0.447,score,0.5,0.6266666666666667,183,172,381,264,845
0.447,score,0.5,0.6266666666666667,183,172,381,264,846
0.447,score,0.5,0.6266666666666667,183,172,381,264,847
0.447,score,0.5,0.6266666666666667,183,172,381,264,848
0.447,score,0.5,0.6266666666666667,183,172,381,264,849
0.447,score,0.5,0.6266666666666667,183,172,381,264,850
0.447,score,0.5,0.6266666666666667,183,172,381,264,851
0.447,score,0.5,0.6266666666666667,183,172,381,264,852
0.447,score,0.5,0.6266666666666667,183,172,381,264,853
0.447,score,0.5,0.6266666666666667,183,172,381,264,854
0.447,score,0.5,0.6266666666666667,183,172,381,264,855
0.447,score,0.5,0.6266666666666667,183,172,381,264,856
0.447,score,0.5,0.6266666666666667,183,172,381,264,857
0.447,score,0.5,0.6266666666666667,183,172,381,264,858
0.447,score,0.5,0.6266666666666667,183,172,381,264,859
0.595,fit,0.5,0.6266666666666667,177,179,226,418,860
0.595,fit,0.5,0.6266666666666667,177,179,226,418,861
0.595,fit,0.5,0.6266666666666667,177,179,226,418,862
0.595,fit,0.5,0.6266666666666667,177,179,226,418,863
0.595,fit,0.5,0.6266666666666667,177,179,226,418,864
0.595,fit,0.5,0.6266666666666667,177,179,226,418,865
0.595,fit,0.5,0.6266666666666667,177,179,226,418,866
0.595,fit,0.5,0.6266666666666667,177,179,226,418,867
0.595,fit,0.5,0.6266666666666667,177,179,226,418,868
0.595,fit,0.5,0.6266666666666667,177,179,226,418,869
0.595,fit,0.5,0.6266666666666667,177,179,226,418,870
0.595,fit,0.5,0.6266666666666667,177,179,226,418,871
0.595,fit,0.5,0.6266666666666667,177,179,226,418,872
0.595,fit,0.5,0.6266666666666667,177,179,226,418,873
0.595,fit,0.5,0.6266666666666667,177,179,226,418,874
0.595,fit,0.5,0.6266666666666667,177,179,226,418,875
0.595,fit,0.5,0.6266666666666667,177,179,226,418,876
0.595,fit,0.5,0.6266666666666667,177,179,226,418,877
0.595,fit,0.5,0.6266666666666667,177,179,226,418,878
0.595,fit,0.5,0.6266666666666667,177,179,226,418,879
0.595,score,0.6433333333333333,0.7233333333333334,177,179,226,418,880
0.595,score,0.6433333333333333,0.7233333333333334,177,179,226,418,881
0.595,score,0.6433333333333333,0.7233333333333334,177,179,226,418,882
0.595,score,0.6433333333333333,0.7233333333333334,177,179,226,418,883
0.595,score,0.6433333333333333,0.7233333333333334,177,179,226,418,884
0.595,score,0.6433333333333333,0.7233333333333334,177,179,226,418,885
0.595,score,0.6433333333333333,0.7233333333333334,177,179,226,418,886
0.595,score,0.6433333333333333,0.7233333333333334,177,179,226,418,887
0.595,score,0.6433333333333333,0.7233333333333334,177,179,226,418,888
0.595,score,0.6433333333333333,0.7233333333333334,177,179,226,418,889
0.595,score,0.6433333333333333,0.7233333333333334,177,179,226,418,890
0.595,score,0.6433333333333333,0.7233333333333334,177,179,226,418,891
0.595,score,0.6433333333333333,0.7233333333333334,177,179,226,418,892
0.595,score,0.6433333333333333,0.7233333333333334,177,179,226,418,893
0.595,score,0.6433333333333333,0.7233333333333334,177,179,226,418,894
0.595,score,0.6433333333333333,0.7233333333333334,177,179,226,418,895
0.595,score,0.6433333333333333,0.7233333333333334,177,179,226,418,896
0.595,score,0.6433333333333333,0.7233333333333334,177,179,226,418,897
0.595,score,0.6433333333333333,0.7233333333333334,177,179,226,418,898
0.595,score,0.6433333333333333,0.7233333333333334,177,179,226,418,899
0.684,fit,0.6433333333333333,0.7233333333333334,150,216,100,534,900
0.684,fit,0.6433333333333333,0.7233333333333334,150,216,100,534,901
0.684,fit,0.6433333333333333,0.7233333333333334,150,216,100,534,902
0.684,fit,0.6433333333333333,0.7233333333333334,150,216,100,534,903
0.684,fit,0.6433333333333333,0.7233333333333334,150,216,100,534,904
0.684,fit,0.6433333333333333,0.7233333333333334,150,216,100,534,905
0.684,fit,0.6433333333333333,0.7233333333333334,150,216,100,534,906
0.684,fit,0.6433333333333333,0.7233333333333334,150,216,100,534,907
0.684,fit,0.6433333333333333,0.7233333333333334,150,216,100,534,908
0.684,fit,0.6433333333333333,0.7233333333333334,150,216,100,534,909
0.684,fit,0.6433333333333333,0.7233333333333334,150,216,100,534,910
0.684,fit,0.6433333333333333,0.7233333333333334,150,216,100,534,911
0.684,fit,0.6433333333333333,0.7233333333333334,150,216,100,534,912
0.684,fit,0.6433333333333333,0.7233333333333334,150,216,100,534,913
0.684,fit,0.6433333333333333,0.7233333333333334,150,216,100,534,914
0.684,fit,0.6433333333333333,0.7233333333333334,150,216,100,534,915
0.684,fit,0.6433333333333333,0.7233333333333334,150,216,100,534,916
0.684,fit,0.6433333333333333,0.7233333333333334,150,216,100,534,917
0.684,fit,0.6433333333333333,0.7233333333333334,150,216,100,534,918
0.684,fit,0.6433333333333333,0.7233333333333334,150,216,100,534,919
0.684,score,0.7266666666666667,0.7433333333333333,150,216,100,534,920
0.684,score,0.7266666666666667,0.7433333333333333,150,216,100,534,921
0.684,score,0.7266666666666667,0.7433333333333333,150,216,100,534,922
0.684,score,0.7266666666666667,0.7433333333333333,150,216,100,534,923
0.684,score,0.7266666666666667,0.7433333333333333,150,216,100,534,924
0.684,score,0.7266666666666667,0.7433333333333333,150,216,100,534,925
0.684,score,0.7266666666666667,0.7433333333333333,150,216,100,534,926
0.684,score,0.7266666666666667,0.7433333333333333,150,216,100,534,927
0.684,score,0.7266666666666667,0.7433333333333333,150,216,100,534,928
0.684,score,0.7266666666666667,0.7433333333333333,150,216,100,534,929
0.684,score,0.7266666666666667,0.7433333333333333,150,216,100,534,930
0.684,score,0.7266666666666667,0.7433333333333333,150,216,100,534,931
0.684,score,0.7266666666666667,0.7433333333333333,150,216,100,534,932
0.684,score,0.7266666666666667,0.7433333333333333,150,216,100,534,933
0.684,score,0.7266666666666667,0.7433333333333333,150,216,100,534,934
0.684,score,0.7266666666666667,0.7433333333333333,150,216,100,534,935
0.684,score,0.7266666666666667,0.7433333333333333,150,216,100,534,936
0.684,score,0.7266666666666667,0.7433333333333333,150,216,100,534,937
0.684,score,0.7266666666666667,0.7433333333333333,150,216,100,534,938
0.684,score,0.7266666666666667,0.7433333333333333,150,216,100,534,939
0.726,score,0.7266666666666667,0.7433333333333333,128,236,37,599,940
0.726,score,0.7266666666666667,0.7433333333333333,129,234,40,597,941
0.727,score,0.7266666666666667,0.7433333333333333,129,232,41,598,942
0.728,score,0.7266666666666667,0.7433333333333333,131,229,43,597,943
0.732,score,0.7266666666666667,0.7433333333333333,131,228,40,601,944
0.724,score,0.7266666666666667,0.7433333333333333,128,234,42,596,945
0.726,score,0.7266666666666667,0.7433333333333333,126,234,40,600,946
0.721,score,0.7266666666666667,0.7433333333333333,132,239,40,589,947
0.72,score,0.7266666666666667,0.7433333333333333,128,241,39,592,948
0.715,score,0.7266666666666667,0.7433333333333333,124,246,39,591,949
0.715,score,0.7266666666666667,0.7433333333333333,124,245,40,591,950
0.709,score,0.7266666666666667,0.7433333333333333,121,247,45,587,951
0.709,score,0.7266666666666667,0.7433333333333333,115,248,43,594,952
0.712,score,0.7266666666666667,0.7433333333333333,112,246,42,600,953
0.712,score,0.7266666666666667,0.7433333333333333,111,249,39,601,954
0.708,score,0.7266666666666667,0.7433333333333333,109,255,37,599,955
0.705,score,0.7266666666666667,0.7433333333333333,107,261,34,598,956
0.711,score,0.7266666666666667,0.7433333333333333,106,258,32,604,957
0.708,score,0.7266666666666667,0.7433333333333333,103,257,35,605,958
0.708,score,0.7266666666666667,0.7433333333333333,101,256,36,607,959
0.706,score,0.7266666666666667,0.7433333333333333,101,255,38,606,960
0.707,score,0.7266666666666667,0.7433333333333333,99,255,38,608,961
0.702,score,0.7266666666666667,0.7433333333333333,96,260,38,606,962
0.698,fit,0.7266666666666667,0.7433333333333333,92,263,39,606,963
