specialist_score,specialist_cycle,prefit_evaluation,postfit_evaluation,cm_true_positive,cm_false_positive,cm_false_negative,cm_true_negative,gen
0,fit,,,,,,,700
0,fit,,,,,,,701
0,fit,,,,,,,702
0,fit,,,,,,,703
0,fit,,,,,,,704
0,fit,,,,,,,705
0,fit,,,,,,,706
0,fit,,,,,,,707
0,fit,,,,,,,708
0,fit,,,,,,,709
0,fit,,,,,,,710
0,fit,,,,,,,711
0,fit,,,,,,,712
0,fit,,,,,,,713
0,fit,,,,,,,714
0,fit,,,,,,,715
0,fit,,,,,,,716
0,fit,,,,,,,717
0,fit,,,,,,,718
0,fit,,,,,,,719
0,score,0.37333333333333335,0.38,,,,,720
0,score,0.37333333333333335,0.38,,,,,721
0,score,0.37333333333333335,0.38,,,,,722
0,score,0.37333333333333335,0.38,,,,,723
0,score,0.37333333333333335,0.38,,,,,724
0,score,0.37333333333333335,0.38,,,,,725
0,score,0.37333333333333335,0.38,,,,,726
0,score,0.37333333333333335,0.38,,,,,727
0,score,0.37333333333333335,0.38,,,,,728
0,score,0.37333333333333335,0.38,,,,,729
0,score,0.37333333333333335,0.38,,,,,730
0,score,0.37333333333333335,0.38,,,,,731
0,score,0.37333333333333335,0.38,,,,,732
0,score,0.37333333333333335,0.38,,,,,733
0,score,0.37333333333333335,0.38,,,,,734
0,score,0.37333333333333335,0.38,,,,,735
0,score,0.37333333333333335,0.38,,,,,736
0,score,0.37333333333333335,0.38,,,,,737
0,score,0.37333333333333335,0.38,,,,,738
0,score,0.37333333333333335,0.38,,,,,739
0.345,fit,0.37333333333333335,0.38,251,140,516,93,740
0.345,fit,0.37333333333333335,0.38,251,140,516,93,741
0.345,fit,0.37333333333333335,0.38,251,140,516,93,742
0.345,fit,0.37333333333333335,0.38,251,140,516,93,743
0.345,fit,0.37333333333333335,0.38,251,140,516,93,744
0.345,fit,0.37333333333333335,0.38,251,140,516,93,745
0.345,fit,0.37333333333333335,0.38,251,140,516,93,746
0.345,fit,0.37333333333333335,0.38,251,140,516,93,747
0.345,fit,0.37333333333333335,0.38,251,140,516,93,748
0.345,fit,0.37333333333333335,0.38,251,140,516,93,749
0.345,fit,0.37333333333333335,0.38,251,140,516,93,750
0.345,fit,0.37333333333333335,0.38,251,140,516,93,751
0.345,fit,0.37333333333333335,0.38,251,140,516,93,752
0.345,fit,0.37333333333333335,0.38,251,140,516,93,753
0.345,fit,0.37333333333333335,0.38,251,140,516,93,754
0.345,fit,0.37333333333333335,0.38,251,140,516,93,755
0.345,fit,0.37333333333333335,0.38,251,140,516,93,756
0.345,fit,0.37333333333333335,0.38,251,140,516,93,757
0.345,fit,0.37333333333333335,0.38,251,140,516,93,758
0.345,fit,0.37333333333333335,0.38,251,140,516,93,759
0.345,score,0.34,0.39,251,140,516,93,760
0.345,score,0.34,0.39,251,140,516,93,761
0.345,score,0.34,0.39,251,140,516,93,762
0.345,score,0.34,0.39,251,140,516,93,763
0.345,score,0.34,0.39,251,140,516,93,764
0.345,score,0.34,0.39,251,140,516,93,765
0.345,score,0.34,0.39,251,140,516,93,766
0.345,score,0.34,0.39,251,140,516,93,767
0.345,score,0.34,0.39,251,140,516,93,768
0.345,score,0.34,0.39,251,140,516,93,769
0.345,score,0.34,0.39,251,140,516,93,770
0.345,score,0.34,0.39,251,140,516,93,771
0.345,score,0.34,0.39,251,140,516,93,772
0.345,score,0.34,0.39,251,140,516,93,773
0.345,score,0.34,0.39,251,140,516,93,774
0.345,score,0.34,0.39,251,140,516,93,775
0.345,score,0.34,0.39,251,140,516,93,776
0.345,score,0.34,0.39,251,140,516,93,777
0.345,score,0.34,0.39,251,140,516,93,778
0.345,score,0.34,0.39,251,140,516,93,779
0.385,fit,0.34,0.39,231,148,466,155,780
0.385,fit,0.34,0.39,231,148,466,155,781
0.385,fit,0.34,0.39,231,148,466,155,782
0.385,fit,0.34,0.39,231,148,466,155,783
0.385,fit,0.34,0.39,231,148,466,155,784
0.385,fit,0.34,0.39,231,148,466,155,785
0.385,fit,0.34,0.39,231,148,466,155,786
0.385,fit,0.34,0.39,231,148,466,155,787
0.385,fit,0.34,0.39,231,148,466,155,788
0.385,fit,0.34,0.39,231,148,466,155,789
0.385,fit,0.34,0.39,231,148,466,155,790
0.385,fit,0.34,0.39,231,148,466,155,791
0.385,fit,0.34,0.39,231,148,466,155,792
0.385,fit,0.34,0.39,231,148,466,155,793
0.385,fit,0.34,0.39,231,148,466,155,794
0.385,fit,0.34,0.39,231,148,466,155,795
0.385,fit,0.34,0.39,231,148,466,155,796
0.385,fit,0.34,0.39,231,148,466,155,797
0.385,fit,0.34,0.39,231,148,466,155,798
0.385,fit,0.34,0.39,231,148,466,155,799
0.385,score,0.4066666666666667,0.5366666666666666,231,148,466,155,800
0.385,score,0.4066666666666667,0.5366666666666666,231,148,466,155,801
0.385,score,0.4066666666666667,0.5366666666666666,231,148,466,155,802
0.385,score,0.4066666666666667,0.5366666666666666,231,148,466,155,803
0.385,score,0.4066666666666667,0.5366666666666666,231,148,466,155,804
0.385,score,0.4066666666666667,0.5366666666666666,231,148,466,155,805
0.385,score,0.4066666666666667,0.5366666666666666,231,148,466,155,806
0.385,score,0.4066666666666667,0.5366666666666666,231,148,466,155,807
0.385,score,0.4066666666666667,0.5366666666666666,231,148,466,155,808
0.385,score,0.4066666666666667,0.5366666666666666,231,148,466,155,809
0.385,score,0.4066666666666667,0.5366666666666666,231,148,466,155,810
0.385,score,0.4066666666666667,0.5366666666666666,231,148,466,155,811
0.385,score,0.4066666666666667,0.5366666666666666,231,148,466,155,812
0.385,score,0.4066666666666667,0.5366666666666666,231,148,466,155,813
0.385,score,0.4066666666666667,0.5366666666666666,231,148,466,155,814
0.385,score,0.4066666666666667,0.5366666666666666,231,148,466,155,815
0.385,score,0.4066666666666667,0.5366666666666666,231,148,466,155,816
0.385,score,0.4066666666666667,0.5366666666666666,231,148,466,155,817
0.385,score,0.4066666666666667,0.5366666666666666,231,148,466,155,818
0.385,score,0.4066666666666667,0.5366666666666666,231,148,466,155,819
0.47,fit,0.4066666666666667,0.5366666666666666,222,152,378,248,820
0.47,fit,0.4066666666666667,0.5366666666666666,222,152,378,248,821
0.47,fit,0.4066666666666667,0.5366666666666666,222,152,378,248,822
0.47,fit,0.4066666666666667,0.5366666666666666,222,152,378,248,823
0.47,fit,0.4066666666666667,0.5366666666666666,222,152,378,248,824
0.47,fit,0.4066666666666667,0.5366666666666666,222,152,378,248,825
0.47,fit,0.4066666666666667,0.5366666666666666,222,152,378,248,826
0.47,fit,0.4066666666666667,0.5366666666666666,222,152,378,248,827
0.47,fit,0.4066666666666667,0.5366666666666666,222,152,378,248,828
0.47,fit,0.4066666666666667,0.5366666666666666,222,152,378,248,829
0.47,fit,0.4066666666666667,0.5366666666666666,222,152,378,248,830
0.47,fit,0.4066666666666667,0.5366666666666666,222,152,378,248,831
0.47,fit,0.4066666666666667,0.5366666666666666,222,152,378,248,832
0.47,fit,0.4066666666666667,0.5366666666666666,222,152,378,248,833
0.47,fit,0.4066666666666667,0.5366666666666666,222,152,378,248,834
0.47,fit,0.4066666666666667,0.5366666666666666,222,152,378,248,835
0.47,fit,0.4066666666666667,0.5366666666666666,222,152,378,248,836
0.47,fit,0.4066666666666667,0.5366666666666666,222,152,378,248,837
0.47,fit,0.4066666666666667,0.5366666666666666,222,152,378,248,838
0.47,fit,0.4066666666666667,0.5366666666666666,222,152,378,248,839
0.47,score,0.51,0.6033333333333334,222,152,378,248,840
0.47,score,0.51,0.6033333333333334,222,152,378,248,841
0.47,score,0.51,0.6033333333333334,222,152,378,248,842
0.47,score,0.51,0.6033333333333334,222,152,378,248,843
0.47,score,0.51,0.6033333333333334,222,152,378,248,844
0.47,score,0.51,0.6033333333333334,222,152,378,248,845
0.47,score,0.51,0.6033333333333334,222,152,378,248,846
0.47,score,0.51,0.6033333333333334,222,152,378,248,847
0.47,score,0.51,0.6033333333333334,222,152,378,248,848
0.47,score,0.51,0.6033333333333334,222,152,378,248,849
0.47,score,0.51,0.6033333333333334,222,152,378,248,850
0.47,score,0.51,0.6033333333333334,222,152,378,248,851
0.47,score,0.51,0.6033333333333334,222,152,378,248,852
0.47,score,0.51,0.6033333333333334,222,152,378,248,853
0.47,score,0.51,0.6033333333333334,222,152,378,248,854
0.47,score,0.51,0.6033333333333334,222,152,378,248,855
0.47,score,0.51,0.6033333333333334,222,152,378,248,856
0.47,score,0.51,0.6033333333333334,222,152,378,248,857
0.47,score,0.51,0.6033333333333334,222,152,378,248,858
0.47,score,0.51,0.6033333333333334,222,152,378,248,859
0.541,fit,0.51,0.6033333333333334,168,215,244,373,860
0.541,fit,0.51,0.6033333333333334,168,215,244,373,861
0.541,fit,0.51,0.6033333333333334,168,215,244,373,862
0.541,fit,0.51,0.6033333333333334,168,215,244,373,863
0.541,fit,0.51,0.6033333333333334,168,215,244,373,864
0.541,fit,0.51,0.6033333333333334,168,215,244,373,865
0.541,fit,0.51,0.6033333333333334,168,215,244,373,866
0.541,fit,0.51,0.6033333333333334,168,215,244,373,867
0.541,fit,0.51,0.6033333333333334,168,215,244,373,868
0.541,fit,0.51,0.6033333333333334,168,215,244,373,869
0.541,fit,0.51,0.6033333333333334,168,215,244,373,870
0.541,fit,0.51,0.6033333333333334,168,215,244,373,871
0.541,fit,0.51,0.6033333333333334,168,215,244,373,872
0.541,fit,0.51,0.6033333333333334,168,215,244,373,873
0.541,fit,0.51,0.6033333333333334,168,215,244,373,874
0.541,fit,0.51,0.6033333333333334,168,215,244,373,875
0.541,fit,0.51,0.6033333333333334,168,215,244,373,876
0.541,fit,0.51,0.6033333333333334,168,215,244,373,877
0.541,fit,0.51,0.6033333333333334,168,215,244,373,878
0.541,fit,0.51,0.6033333333333334,168,215,244,373,879
0.541,score,0.5933333333333334,0.71,168,215,244,373,880
0.541,score,0.5933333333333334,0.71,168,215,244,373,881
0.541,score,0.5933333333333334,0.71,168,215,244,373,882
0.541,score,0.5933333333333334,0.71,168,215,244,373,883
0.541,score,0.5933333333333334,0.71,168,215,244,373,884
0.541,score,0.5933333333333334,0.71,168,215,244,373,885
0.541,score,0.5933333333333334,0.71,168,215,244,373,886
0.541,score,0.5933333333333334,0.71,168,215,244,373,887
0.541,score,0.5933333333333334,0.71,168,215,244,373,888
0.541,score,0.5933333333333334,0.71,168,215,244,373,889
0.541,score,0.5933333333333334,0.71,168,215,244,373,890
0.541,score,0.5933333333333334,0.71,168,215,244,373,891
0.541,score,0.5933333333333334,0.71,168,215,244,373,892
0.541,score,0.5933333333333334,0.71,168,215,244,373,893
0.541,score,0.5933333333333334,0.71,168,215,244,373,894
0.541,score,0.5933333333333334,0.71,168,215,244,373,895
0.541,score,0.5933333333333334,0.71,168,215,244,373,896
0.541,score,0.5933333333333334,0.71,168,215,244,373,897
0.541,score,0.5933333333333334,0.71,168,215,244,373,898
0.541,score,0.5933333333333334,0.71,168,215,244,373,899
0.672,fit,0.5933333333333334,0.71,142,194,134,530,900
0.672,fit,0.5933333333333334,0.71,142,194,134,530,901
0.672,fit,0.5933333333333334,0.71,142,194,134,530,902
0.672,fit,0.5933333333333334,0.71,142,194,134,530,903
0.672,fit,0.5933333333333334,0.71,142,194,134,530,904
0.672,fit,0.5933333333333334,0.71,142,194,134,530,905
0.672,fit,0.5933333333333334,0.71,142,194,134,530,906
0.672,fit,0.5933333333333334,0.71,142,194,134,530,907
0.672,fit,0.5933333333333334,0.71,142,194,134,530,908
0.672,fit,0.5933333333333334,0.71,142,194,134,530,909
0.672,fit,0.5933333333333334,0.71,142,194,134,530,910
0.672,fit,0.5933333333333334,0.71,142,194,134,530,911
0.672,fit,0.5933333333333334,0.71,142,194,134,530,912
0.672,fit,0.5933333333333334,0.71,142,194,134,530,913
0.672,fit,0.5933333333333334,0.71,142,194,134,530,914
0.672,fit,0.5933333333333334,0.71,142,194,134,530,915
0.672,fit,0.5933333333333334,0.71,142,194,134,530,916
0.672,fit,0.5933333333333334,0.71,142,194,134,530,917
0.672,fit,0.5933333333333334,0.71,142,194,134,530,918
0.672,fit,0.5933333333333334,0.71,142,194,134,530,919
0.672,score,0.72,0.7266666666666667,142,194,134,530,920
0.672,score,0.72,0.7266666666666667,142,194,134,530,921
0.672,score,0.72,0.7266666666666667,142,194,134,530,922
0.672,score,0.72,0.7266666666666667,142,194,134,530,923
0.672,score,0.72,0.7266666666666667,142,194,134,530,924
0.672,score,0.72,0.7266666666666667,142,194,134,530,925
0.672,score,0.72,0.7266666666666667,142,194,134,530,926
0.672,score,0.72,0.7266666666666667,142,194,134,530,927
0.672,score,0.72,0.7266666666666667,142,194,134,530,928
0.672,score,0.72,0.7266666666666667,142,194,134,530,929
0.672,score,0.72,0.7266666666666667,142,194,134,530,930
0.672,score,0.72,0.7266666666666667,142,194,134,530,931
0.672,score,0.72,0.7266666666666667,142,194,134,530,932
0.672,score,0.72,0.7266666666666667,142,194,134,530,933
0.672,score,0.72,0.7266666666666667,142,194,134,530,934
0.672,score,0.72,0.7266666666666667,142,194,134,530,935
0.672,score,0.72,0.7266666666666667,142,194,134,530,936
0.672,score,0.72,0.7266666666666667,142,194,134,530,937
0.672,score,0.72,0.7266666666666667,142,194,134,530,938
0.672,score,0.72,0.7266666666666667,142,194,134,530,939
0.74,score,0.72,0.7266666666666667,120,216,44,620,940
0.735,score,0.72,0.7266666666666667,114,220,45,621,941
0.733,score,0.72,0.7266666666666667,110,225,42,623,942
0.73,score,0.72,0.7266666666666667,112,229,41,618,943
0.731,score,0.72,0.7266666666666667,117,226,42,615,944
0.734,score,0.72,0.7266666666666667,114,222,44,620,945
0.729,score,0.72,0.7266666666666667,121,223,48,608,946
0.728,score,0.72,0.7266666666666667,115,221,51,613,947
0.719,score,0.72,0.7266666666666667,113,231,50,606,948
0.718,score,0.72,0.7266666666666667,116,227,55,602,949
0.718,score,0.72,0.7266666666666667,113,223,59,605,950
0.718,score,0.72,0.7266666666666667,115,229,53,603,951
0.721,score,0.72,0.7266666666666667,113,227,52,608,952
0.723,score,0.72,0.7266666666666667,113,222,55,610,953
0.725,score,0.72,0.7266666666666667,110,218,57,615,954
0.715,score,0.72,0.7266666666666667,109,225,60,606,955
0.708,score,0.72,0.7266666666666667,106,231,59,604,956
0.704,score,0.72,0.7266666666666667,106,231,65,598,957
0.699,fit,0.72,0.7266666666666667,110,233,68,589,958
0.699,fit,0.72,0.7266666666666667,110,233,68,589,959
0.699,fit,0.72,0.7266666666666667,110,233,68,589,960
0.699,fit,0.72,0.7266666666666667,110,233,68,589,961
0.699,fit,0.72,0.7266666666666667,110,233,68,589,962
0.699,fit,0.72,0.7266666666666667,110,233,68,589,963
0.699,fit,0.72,0.7266666666666667,110,233,68,589,964
0.699,fit,0.72,0.7266666666666667,110,233,68,589,965
0.699,fit,0.72,0.7266666666666667,110,233,68,589,966
0.699,fit,0.72,0.7266666666666667,110,233,68,589,967
0.699,fit,0.72,0.7266666666666667,110,233,68,589,968
0.699,fit,0.72,0.7266666666666667,110,233,68,589,969
0.699,fit,0.72,0.7266666666666667,110,233,68,589,970
0.699,fit,0.72,0.7266666666666667,110,233,68,589,971
0.699,fit,0.72,0.7266666666666667,110,233,68,589,972
0.699,fit,0.72,0.7266666666666667,110,233,68,589,973
0.699,fit,0.72,0.7266666666666667,110,233,68,589,974
0.699,fit,0.72,0.7266666666666667,110,233,68,589,975
0.699,fit,0.72,0.7266666666666667,110,233,68,589,976
0.699,fit,0.72,0.7266666666666667,110,233,68,589,977
0.699,score,0.7433333333333333,0.73,110,233,68,589,978
0.699,score,0.7433333333333333,0.73,110,233,68,589,979
0.699,score,0.7433333333333333,0.73,110,233,68,589,980
0.699,score,0.7433333333333333,0.73,110,233,68,589,981
0.699,score,0.7433333333333333,0.73,110,233,68,589,982
0.699,score,0.7433333333333333,0.73,110,233,68,589,983
